# SYSTEM: CrFeCoNi
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of frenkel pairs
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)             N_FP   t(ps)              N_FP   t(ps)              N_FP   t(ps)              N_FP   t(ps)              N_FP  t(ps)              N_FP  t(ps)              N_FP   t(ps)              N_FP   t(ps)              N_FP  t(ps)              N_FP
0                  0      0                  0      0                  0      0                  0      0                  0     0                  0     0                  0      0                  0      0                  0     0                  0
0.002479000000001  1      0.002478           1      0.002479999999998  1      0.002481           1      0.002485           1     0.002479999999998  1     0.002483000000002  1      0.002481           1      0.002476999999999  1     0.002479000000001  1
0.004975999999999  1      0.005082000000002  2      0.005302           2      0.005020999999999  1      0.004996999999999  1     0.005075000000002  2     0.004998000000001  1      0.005209000000001  2      0.005085000000001  2     0.005011           1
0.007489           2      0.007911           2      0.008789           4      0.007641           3      0.007567000000002  4     0.007864999999999  3     0.007553000000001  4      0.008395           4      0.007961000000002  3     0.007659           2
0.010023           3      0.011126000000001  3      0.012353999999999  6      0.010435000000001  6      0.010252999999999  6     0.010940000000002  5     0.010162000000001  6      0.012329000000001  7      0.010869           5     0.010345999999999  3
0.012578999999999  4      0.015084999999999  7      0.016158000000001  9      0.013843000000001  10     0.013076000000002  7     0.014122000000001  8     0.012812           7      0.017023999999999  12     0.013848           6     0.013055000000001  6
0.015156000000001  6      0.019200000000002  13     0.020506000000001  18     0.017788           13     0.015951999999999  10    0.017313000000002  11    0.015473           8      0.022275000000001  22     0.016848           12    0.01578            9
0.017765000000001  10     0.023720000000001  19     0.025386999999999  28     0.022145999999999  28     0.018836           16    0.020530000000001  13    0.018141           11     0.028116000000001  40     0.019866           15    0.018526000000001  13
0.020378000000001  14     0.028495           39     0.030652           48     0.026814000000002  40     0.021735           20    0.023778           22    0.020810999999998  17     0.035072           72     0.022908999999999  22    0.021280000000001  15
0.023002000000002  16     0.03361            57     0.03651            74     0.031842000000001  63     0.024646000000001  22    0.027080000000002  27    0.023498           20     0.043267           145    0.025993           34    0.024042999999999  21
0.025639000000002  20     0.040552000000002  102    0.042978000000002  126    0.036926999999999  97     0.027570000000001  30    0.030646999999998  38    0.026416999999999  27     0.052978           240    0.029140999999999  40    0.026817999999999  25
0.028279999999999  24     0.048006999999998  165    0.050795999999998  199    0.042079000000001  134    0.030508999999999  43    0.034331000000002  50    0.029579999999999  34     0.063265999999999  404    0.032748000000002  60    0.029612           30
0.030946           29     0.056737999999999  261    0.059063999999999  300    0.048622000000002  203    0.033804           55    0.038238           75    0.032921999999999  43     0.074788999999999  624    0.036674000000002  75    0.032429000000001  39
0.033715000000001  37     0.067021000000001  431    0.073232000000001  571    0.058841999999999  343    0.037103999999999  73    0.042411000000001  93    0.036763000000001  51     0.088058           966    0.040699           98    0.035388999999999  49
0.036759           42     0.078848000000001  666    0.093619           1028   0.072237999999999  576    0.040430000000001  88    0.046648999999999  127   0.040697000000002  65     0.104644           1374   0.045003000000001  123   0.038377000000001  57
0.039846000000001  53     0.092573000000002  1017   0.116530999999998  1612   0.094321999999998  1103   0.043773000000002  106   0.051179999999999  170   0.045254           88     0.131222999999999  1997   0.050429999999999  173   0.041409999999999  62
0.042940000000002  64     0.109719999999999  1423   0.150790000000001  2221   0.135615999999999  2043   0.047143999999999  131   0.056228999999998  210   0.050429000000001  130    0.186114           2517   0.056767000000001  248   0.044632           83
0.046140000000001  73     0.131167999999999  1939   0.235690999999999  2562   0.231377999999999  2492   0.050640000000001  154   0.062498999999999  276   0.056574999999999  177    0.357367           3028   0.063918999999999  335   0.047948000000002  104
0.049707000000002  88     0.164366999999999  2375   0.422377000000001  3850   0.381824999999999  3527   0.054202           179   0.069607999999999  384   0.064446           258    0.599501           5560   0.071843000000001  458   0.051435999999999  133
0.053384000000001  105    0.255334000000001  2668   0.649163999999999  6928   0.595369000000002  6396   0.057945           216   0.077750000000002  516   0.076822           433    0.863571           9904   0.081047000000002  641   0.055458999999999  162
0.057206999999998  130    0.474895           4157   0.905266999999999  12129  0.838079           10627  0.062128000000001  251   0.088425000000001  729   0.090987999999999  687    1.138434           12690  0.093495999999998  904   0.059830999999999  200
0.061674           167    0.718371999999999  7296   1.166912           14333  1.098201           14255  0.068099           323   0.100480000000001  987   0.109451           1103   1.42697            14892  0.112268           1362  0.064135           239
0.066807000000001  210    0.978664999999999  11768  1.433688           16055  1.374385           16693  0.075498           423   0.114350999999999  1303  0.140114000000001  1837   1.724783           12812  0.145025           2039  0.069946999999999  297
0.073374999999999  275    1.24689            14907  1.715982           15299  1.652301           16173  0.085721           592   0.131339000000001  1722  0.194375999999998  2411   2.02723            7009   0.224139000000001  2496  0.077614000000001  382
0.080959           371    1.532783           16461  2.00386            10350  1.940609           11406  0.099931000000002  863   0.168416000000001  2268  0.293291           2771   2.329677           3694   0.395244000000002  3423  0.085775000000002  519
0.091723000000002  535    1.82934            12527  2.308792           7153   2.232016           7006   0.123636000000001  1369  0.254988000000001  2457  0.476970999999999  4215   2.652791           2735   0.619225           6467  0.094415000000002  676
0.108287000000001  850    2.142589           6290   2.614572           6121   2.523146           5621   0.161116           2136  0.470268999999998  3382  0.710536000000001  7890   2.98178            2271   0.877330000000001  9053  0.103282           855
