# SYSTEM: CrFeCoNi
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of frenkel pairs
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)             N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def
0                  0      0                  0      0                  0      0                  2      0                  0      0                  0      0                  0      0                  0
0.002479000000001  21     0.002478           20     0.002479999999998  21     0.002481           23     0.002485           19     0.002479999999998  20     0.002476999999999  19     0.002479000000001  21
0.004975999999999  28     0.005082000000002  32     0.005302           49     0.005020999999999  41     0.004996999999999  38     0.005075000000002  43     0.005085000000001  49     0.005011           32
0.007489           50     0.007911           48     0.008789           65     0.007641           66     0.007567000000002  61     0.007864999999999  66     0.007961000000002  66     0.007659           72
0.010023           67     0.011126000000001  112    0.012353999999999  127    0.010435000000001  101    0.010252999999999  91     0.010940000000002  111    0.010869           143    0.010345999999999  106
0.012578999999999  104    0.015084999999999  161    0.016158000000001  182    0.013843000000001  163    0.013076000000002  128    0.014122000000001  163    0.013848           254    0.013055000000001  172
0.015156000000001  134    0.019200000000002  257    0.020506000000001  311    0.017788           292    0.015951999999999  188    0.017313000000002  199    0.016848           428    0.01578            220
0.017765000000001  178    0.023720000000001  417    0.025386999999999  521    0.022145999999999  435    0.018836           254    0.020530000000001  291    0.019866           703    0.018526000000001  301
0.020378000000001  219    0.028495           646    0.030652           801    0.026814000000002  669    0.021735           327    0.023778           398    0.022908999999999  1200   0.021280000000001  391
0.023002000000002  281    0.03361            944    0.03651            1245   0.031842000000001  968    0.024646000000001  415    0.027080000000002  509    0.025993           2013   0.024042999999999  511
0.025639000000002  328    0.040552000000002  1460   0.042978000000002  1800   0.036926999999999  1364   0.027570000000001  570    0.030646999999998  687    0.029140999999999  3344   0.026817999999999  665
0.028279999999999  393    0.048006999999998  2226   0.050795999999998  2703   0.042079000000001  1864   0.030508999999999  684    0.034331000000002  867    0.032748000000002  5090   0.029612           837
0.030946           482    0.056737999999999  3401   0.059063999999999  3911   0.048622000000002  2627   0.033804           846    0.038238           1086   0.036674000000002  7539   0.032429000000001  1075
0.033715000000001  562    0.067021000000001  5256   0.073232000000001  6616   0.058841999999999  4087   0.037103999999999  1010   0.042411000000001  1427   0.040699           10893  0.035388999999999  1395
0.036759           703    0.078848000000001  7769   0.093619           11586  0.072237999999999  6577   0.040430000000001  1208   0.046648999999999  1714   0.045003000000001  15455  0.038377000000001  1729
0.039846000000001  833    0.092573000000002  11174  0.116530999999998  17796  0.094321999999998  11835  0.043773000000002  1409   0.051179999999999  2206   0.050429999999999  22727  0.041409999999999  2273
0.042940000000002  965    0.109719999999999  15890  0.150790000000001  26669  0.135615999999999  23125  0.047143999999999  1679   0.056228999999998  2720   0.056767000000001  35771  0.044632           3078
0.046140000000001  1132   0.131167999999999  21835  0.235690999999999  40453  0.231377999999999  40837  0.050640000000001  1990   0.062498999999999  3641   0.063918999999999  42309  0.047948000000002  4127
0.049707000000002  1341   0.164366999999999  30213  0.422377000000001  40566  0.381824999999999  40093  0.054202           2336   0.069607999999999  4759   0.071843000000001  40374  0.051435999999999  5515
0.053384000000001  1600   0.255334000000001  42859  0.649163999999999  39986  0.595369000000002  39465  0.057945           2717   0.077750000000002  6363   0.081047000000002  38458  0.055458999999999  7389
0.057206999999998  1907   0.474895           40849  0.905266999999999  39486  0.838079           38894  0.062128000000001  3174   0.088425000000001  8726   0.093495999999998  36904  0.059830999999999  10220
0.061674           2310   0.718371999999999  40009  1.166912           38296  1.098201           38002  0.068099           3950   0.100480000000001  11777  0.112268           34892  0.064135           15135
0.066807000000001  2793   0.978664999999999  38339  1.433688           36348  1.374385           36652  0.075498           5049   0.114350999999999  15708  0.145025           32875  0.069946999999999  23952
