# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# C_i: Cluster index
# S_cluster: Cluster size. This number represents the number of atoms in each cluster averaged over the number of simulations for this system and method. This is the reason the number is fraction
# std_error: The standard error of S_cluster 

C_i  S_cluster  std_error
1    191.875    23.6548375451136
2    135        13.7866394952297
3    108.75     12.6529923056056
4    87.75      12.3328104779776
5    75.375     9.53927501737647
6    63         7.21605353163546
7    56.5       5.5805785670356
8    50.625     5.12674186426985
9    48.125     4.91512788672453
10   42.75      3.11534221922041
11   39.375     2.50668748408276
12   38.125     2.83748820010133
13   36.375     2.47081175209398
14   34.25      2.26581741793741
15   33         2.20389266007736
16   31.75      2.15265616655995
17   30.125     2.03923567614367
18   28.5       1.6583123951777
19   27.5       1.79284291400159
20   26.375     1.70018381359193
21   25.75      1.54399759437266
22   24.125     1.60843202263216
23   23.625     1.65763924215821
24   23.125     1.59729123384381
25   22.25      1.66636902104117
26   21.5       1.54688627340769
27   20.75      1.42365224485677
28   20         1.26773138209277
29   19.75      1.31949665727937
30   19.25      1.16112630050063
31   18.875     1.20174723988509
32   18         0.963624111659431
33   17.375     0.962465212729419
34   17.125     0.811469126250126
35   16.625     0.962465212729419
36   16.5       0.925820099772551
37   16.125     0.742522245938992
38   15.875     0.63912607743476
39   15.875     0.63912607743476
40   15.5       0.534522483824849
41   15.375     0.53243041128127
42   15.125     0.515388203202208
43   15.125     0.515388203202208
44   15.125     0.515388203202208
45   15         0.462910049886276
46   15         0.462910049886276
47   15         0.462910049886276
48   14.875     0.479490056503484
49   14.875     0.479490056503484
50   14.75      0.453163483587483
51   14.375     0.564974714984156
52   14.125     0.63912607743476
53   14.125     0.63912607743476
54   14.125     0.63912607743476
55   14         0.626783170528009
56   13.75      0.674801558131828
57   13.75      0.674801558131828
58   13.5       0.566946709513841
59   13.5       0.566946709513841
60   13.375     0.53243041128127
61   13.125     0.54894379103355
62   13.125     0.54894379103355
63   13.125     0.54894379103355
64   13.125     0.54894379103355
65   13         0.5
66   12.875     0.479490056503484
67   12.75      0.490990253030983
68   12.75      0.490990253030983
69   12.75      0.490990253030983
