# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of frenkel pairs
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    N_FP  t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP   t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP
0         0     0         0     0         0     0         0      0         0     0         0     0         0     0         0
0.002483  1     0.002482  1     0.00293   2     0.002557  2      0.002489  1     0.002481  1     0.00248   1     0.002483  1
0.004976  1     0.005005  1     0.006198  2     0.005193  2      0.004988  2     0.004976  1     0.004975  1     0.004974  1
0.007573  2     0.007546  3     0.009702  5     0.007846  2      0.007553  3     0.007564  2     0.007505  3     0.007477  2
0.010208  4     0.010115  4     0.013508  7     0.010526  4      0.01013   3     0.010168  2     0.010045  3     0.009985  2
0.012882  6     0.012693  6     0.017401  11    0.01334   6      0.012723  6     0.012856  5     0.012597  3     0.012499  3
0.015661  7     0.015301  7     0.021469  24    0.016399  11     0.015455  8     0.015639  8     0.015154  5     0.015021  4
0.018595  11    0.017883  11    0.026746  37    0.01948   14     0.018323  10    0.018571  14    0.017726  6     0.017551  4
0.021628  18    0.020381  13    0.033488  72    0.022964  23     0.021276  12    0.021814  20    0.020299  10    0.020091  5
0.024698  22    0.022929  16    0.041439  125   0.026943  34     0.024401  19    0.025403  28    0.022885  10    0.022635  6
0.0279    29    0.025523  20    0.050345  213   0.031862  54     0.027558  25    0.02906   36    0.025474  11    0.025186  9
0.032501  41    0.028153  23    0.059904  331   0.037786  78     0.030728  37    0.032769  47    0.028076  15    0.027746  10
0.037399  63    0.030818  27    0.069935  523   0.044434  127    0.033909  48    0.036857  67    0.030689  20    0.03031   13
0.043246  96    0.033546  36    0.080435  734   0.053246  219    0.037149  62    0.041834  95    0.033326  25    0.032881  15
0.05082   150   0.036306  46    0.091196  968   0.065933  390    0.040597  71    0.047181  129   0.035974  29    0.035464  16
0.062296  256   0.039165  55    0.102363  1205  0.083891  744    0.044563  92    0.053027  183   0.038637  30    0.038066  19
0.078782  495   0.04206   70    0.113916  1439  0.108176  1320   0.048649  115   0.059859  257   0.041334  33    0.040703  24
0.098328  858   0.044977  81    0.126053  1671  0.16017   2166   0.052864  145   0.066849  366   0.0441    43    0.043399  30
0.126393  1426  0.048378  98    0.139009  1839  0.309817  2569   0.057915  192   0.07395   479   0.046898  55    0.046119  35
0.17977   1934  0.051848  123   0.152933  1935  0.52808   4395   0.063626  255   0.081502  614   0.050252  64    0.048864  39
0.308316  2098  0.055345  140   0.169141  2020  0.768338  7722   0.07051   335   0.089441  772   0.054196  78    0.051789  45
0.534289  3439  0.058995  171   0.195703  2065  1.03158   10528  0.078434  448   0.097577  937   0.058501  93    0.0548    49
0.786259  5541  0.06343   209   0.273087  2221  1.3127    12345  0.089283  631   0.10595   1141  0.06321   107   0.058215  61
1.07162   7161  0.068173  274   0.464268  3468  1.60464   11023  0.105515  976   0.114813  1319  0.068306  135   0.061923  69
1.35333   7593  0.073416  319   0.703986  6152  1.90433   6329   0.130141  1521  0.124205  1496  0.073822  170   0.067087  95
1.65412   5222  0.080792  390   0.96111   7988  2.21174   3953   0.194941  2167  0.134142  1666  0.079619  206   0.072523  123
1.96497   2790  0.089844  524   1.23891   7755  2.52598   3222   0.345169  2364  0.146492  1841  0.085657  251   0.078191  153
2.28973   1888  0.099895  686   1.53552   5200  2.85393   2676   0.590619  4157  0.16279   1998  0.092488  330   0.084067  191
2.62801   1381  0.11216   916   1.83571   2810  3.19971   1905   0.858261  5837  0.185359  2101  0.101323  448   0.090037  253
2.97359   1096  0.126073  1165  2.13654   2093  3.55208   1376   1.15039   5682  0.220069  2110  0.112158  617   0.096223  306
3.31889   825   0.145007  1487  2.46516   1596  3.91225   1019   1.45224   4160  0.308885  2289  0.128032  912   0.1026    382
3.67776   649   0.176438  1935  2.80225   1227  4.27408   837    1.75688   2996  0.546352  4250  0.150936  1338  0.109035  478
4.05021   523   0.255337  2057  3.14978   1006  4.65432   674    2.06593   2295  0.808049  7255  0.191354  1901  0.115575  562
4.43427   453   0.468204  2440  3.51031   775   5.03545   558    2.40605   1786  1.08806   9049  0.272605  1974  0.122177  649
4.82918   359   0.738704  3648  3.88121   633   5.42399   445    2.76663   1236  1.39788   8016  0.456812  2214  0.129108  771
5.23272   286   1.01728   4393  4.26379   509   5.83255   367    3.12413   911   1.7027    5135  0.731382  2795  0.136736  888
5.65111   225   1.2986    3310  4.65216   371   6.24021   307    3.49291   724   2.02189   3006  1.03144   3177  0.145119  1015
6.06061   190   1.60141   1856  5.05421   268   6.66884   251    3.87336   601   2.35346   2136  1.34473   2607  0.155666  1174
6.47951   143   1.91515   1337  5.47073   167   7.09258   205    4.26378   427   2.69856   1710  1.66673   1616  0.169748  1331
6.90258   124   2.24727   958   5.88007   131   7.52862   167    4.66099   302   3.04176   1352  2.01525   1035  0.188567  1537
7.34725   106   2.58454   779   6.3204    96    7.97009   147    5.07133   229   3.3995    1096  2.37534   701   0.223282  1741
7.8224    104   2.92804   644   6.74404   88    8.43611   144    5.49416   164   3.74503   930   2.74481   528   0.331641  1850
8.29504   98    3.28842   481   7.20111   82    8.91846   134    5.91835   128   4.11722   735   3.11826   387   0.5668    2775
8.8043    98    3.66568   419   7.70583   81    9.42328   131    6.35185   109   4.5051    608   3.51031   297   0.822934  4463
9.34657   101   4.05067   366   8.23941   81    9.94163   129    6.82514   107   4.8984    504   3.90875   218   1.10652   5141
9.91464   99    4.43951   301   8.78856   81    10.4955   127    7.33364   107   5.29755   383   4.31795   183   1.38768   3652
10.4893   99    4.85209   251   9.3372    80    11.0466   128    7.87339   107   5.70051   326   4.74372   155   1.68351   2027
11.0882   98    5.27239   216   9.92484   80    11.6088   128    8.42119   106   6.1262    281   5.17231   129   1.99033   1377
11.6944   98    5.69563   179   10.5235   80    12.1935   127    9.00796   106   6.56714   199   5.61707   117   2.31535   1053
12.311    98    6.13485   132   11.1291   80    12.7995   128    9.61221   106   6.99468   162   6.05791   112   2.65583   921
12.9488   99    6.57734   112   11.753    80    13.4464   128    10.2313   106   7.42995   121   6.55102   112   3.01983   700
13.5965   98    7.01261   108   12.3915   80    14.0494   126    10.8656   106   7.90745   97    7.04302   111   3.38913   581
14.26     98    7.49339   108   13.0595   80    14.6874   126    11.5078   106   8.39729   90    7.57316   111   3.76792   467
14.9307   97    8.02271   108   13.7423   80    15.3492   127    12.1671   106   8.89818   87    8.13276   111   4.16355   344
15.6228   99    8.57848   108   14.4244   80    16.0276   128    12.8301   106   9.43263   86    8.71717   111   4.5678    276
16.328    99    9.15851   108   15.1049   80    16.7153   128    13.5209   109   9.98517   87    9.30609   110   4.98639   199
17.0409   99    9.75809   108   15.8176   80    17.4031   125    14.2142   106   10.5627   87    9.90203   109   5.41381   153
17.7589   97    10.3676   108   16.5311   80    18.0694   122    14.898    106   11.1605   85    10.5338   108   5.83606   117
18.4845   98    10.9935   108   17.2442   80    18.7864   123    15.601    107   11.7595   85    11.1728   108   6.27701   98
19.2161   98    11.647    108   17.9617   80    19.4962   121    16.3308   107   12.3691   85    11.8137   107   6.73333   89
19.9559   98    12.2946   108   18.6978   80    20.1929   120    17.0615   107   13.0113   84    12.4597   106   7.20743   89
20.7073   97    12.9637   108   19.4214   80    20.9329   120    17.7883   106   13.6856   84    13.149    106   7.72494   89
21.458    97    13.6598   107   20.1615   80    21.6464   118    18.5135   107   14.3321   83    13.8366   106   8.26767   88
22.2057   98    14.3679   107   20.9085   80    22.3818   118    19.2413   107   14.9544   83    14.5275   106   8.8356    88
22.9544   97    15.0606   107   21.6522   80    23.1184   118    19.9798   107   15.6517   83    15.2232   106   9.43254   87
23.7022   98    15.7772   107   22.3998   80    23.8625   119    20.724    107   16.3546   83    15.9394   106   10.0482   87
24.4635   97    16.4953   107   23.1468   80    24.6143   119    21.4733   106   17.0582   83    16.6543   106   10.6685   86
25.2153   98    17.2192   107   23.9001   80    25.3683   118    22.2141   106   17.7679   84    17.3766   106   11.3146   86
25.9711   97    17.9438   107   24.6515   80    26.1137   118    22.9615   106   18.4806   83    18.0933   106   11.9659   86
26.7373   98    18.6399   106   25.4056   80    26.8666   118    23.7126   106   19.2093   83    18.8222   106   12.5793   83
27.4977   98    19.3755   106   26.1572   80    27.6193   118    24.4689   106   19.949    83    19.5646   106   13.2474   83
28.2659   97    20.1185   106   26.9098   80    28.3757   119    25.2241   106   20.6932   83    20.3112   106   13.9567   83
29.0192   97    20.8702   106   27.6665   80    29.1257   119    25.9758   107   21.4314   83    21.0534   106   14.665    83
29.777    97    21.6147   106   28.4236   80    29.8706   118    26.7344   106   22.1742   83    21.8026   106   15.3642   83
30.5381   97    22.3627   106   29.1758   80    30.6285   118    27.4888   106   22.927    83    22.5489   106   16.0826   83
31.3046   98    23.1144   106   29.9269   80    31.3941   119    28.2438   106   23.6197   82    23.3051   106   16.8246   83
32.0713   98    23.8622   106   30.6913   80    32.1577   119    28.9984   106   24.3444   82    24.0598   106   17.5607   83
32.8287   98    24.6164   106   31.4534   80    32.9085   118    29.7451   106   25.0959   83    24.8071   106   18.3095   83
33.5932   99    25.3765   106   32.2087   80    33.6661   119    30.4968   106   25.8509   82    25.5653   106   19.0484   83
34.354    98    26.1267   106   32.9765   80    34.4293   118    31.2552   106   26.6041   82    26.3242   106   19.7953   83
35.1155   98    26.8853   106   33.7384   80    35.1902   119    32.0199   107   27.3661   83    27.0714   106   20.5532   83
35.8807   98    27.644    106   34.493    80    35.9494   120    32.7837   107   28.1148   82    27.8372   106   21.3045   83
36.6494   98    28.3996   106   35.2624   80    36.7084   118    33.5514   107   28.8717   82    28.5974   106   22.0629   83
37.4186   98    29.1543   106   36.0239   80    37.474    118    34.3111   107   29.6282   82    29.3506   106   22.76     82
38.189    98    29.9083   106   36.7896   80    38.2369   118    35.0682   106   30.3793   82    30.1099   106   23.5217   82
38.9595   98    30.6697   106   37.558    80    38.9989   119    35.8244   106   31.135    82    30.8671   106   24.28     82
39.7262   98    31.3973   105   38.3192   80    39.7601   118    36.5868   107   31.8954   82    31.6241   106   25.0395   82
40.4912   98    32.1564   105   39.0828   80    40.5168   118    37.3451   106   32.6579   82    32.383    106   25.7925   82
41.2515   98    32.9177   105   39.8515   80    41.2734   118    38.1133   106   33.4194   82    33.1393   106   26.5577   82
42.0118   98    33.6764   105   40.6089   80    42.0317   118    38.8785   106   34.1762   82    33.8551   105   27.3222   82
42.7779   98    34.4358   105   41.3737   80    42.7986   120    39.6348   107   34.9351   82    34.6163   105   28.0835   82
43.5469   98    35.1908   105   42.1299   80    43.5571   118    40.3944   106   35.6903   82    35.3657   105   28.8429   82
44.3094   98    35.95     105   42.9002   80    44.3212   119    41.1553   106   36.4522   82    36.1181   105   29.6045   82
45.0816   98    36.7149   105   43.6633   80    45.0778   118    41.9217   106   37.2129   82    36.8762   105   30.3649   82
45.8492   98    37.4708   105   44.4255   80    45.8296   118    42.6847   106   37.9761   82    37.6366   105   31.1369   82
46.6198   98    38.2332   105   45.1876   80    46.5885   120    43.4467   106   38.7369   83    38.3973   105   31.902    82
47.388    98    38.9935   105   45.9525   80    47.353    119    44.2147   107   39.4974   82    39.1516   105   32.6606   82
48.1572   98    39.7574   105   46.7031   80    48.1226   118    44.9693   107   40.2562   83    39.9121   105   33.4278   82
48.9213   98    40.52     105   47.4684   80    48.8844   118    45.7302   107   41.0119   82    40.6731   105   34.1911   82
49.6872   98    41.2827   105   48.2231   80    49.6545   119    46.4889   106   41.7751   83    41.4408   105   34.955    82
50.4544   98    42.0478   105   48.989    80    50.4205   118    47.2434   106   42.5323   82    42.1968   105   35.7232   82
51.2175   97    42.8117   105   49.7526   80    51.1794   118    48.0039   107   43.2928   82    42.9593   105   36.4889   82
51.9828   98    43.5725   105   50.5148   80    51.9352   118    48.7546   106   44.0589   82    43.7221   105   37.2502   82
