# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of defected atoms
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def
0         0      0         0      0         0      0         0      0         0      0         0      0         0      0         0
0.002483  19     0.002482  20     0.00293   39     0.002557  33     0.002489  25     0.002481  20     0.00248   20     0.002483  18
0.004976  27     0.005005  36     0.006198  50     0.005193  40     0.004988  32     0.004976  21     0.004975  20     0.004974  27
0.007573  53     0.007546  58     0.009702  98     0.007846  52     0.007553  57     0.007564  56     0.007505  46     0.007477  38
0.010208  81     0.010115  84     0.013508  175    0.010526  106    0.01013   86     0.010168  92     0.010045  59     0.009985  58
0.012882  128    0.012693  102    0.017401  267    0.01334   136    0.012723  104    0.012856  127    0.012597  92     0.012499  65
0.015661  175    0.015301  143    0.021469  401    0.016399  200    0.015455  142    0.015639  167    0.015154  117    0.015021  73
0.018595  238    0.017883  189    0.026746  667    0.01948   270    0.018323  193    0.018571  226    0.017726  143    0.017551  112
0.021628  306    0.020381  243    0.033488  1068   0.022964  376    0.021276  264    0.021814  303    0.020299  178    0.020091  164
0.024698  379    0.022929  289    0.041439  1727   0.026943  558    0.024401  379    0.025403  455    0.022885  218    0.022635  210
0.0279    491    0.025523  333    0.050345  2824   0.031862  796    0.027558  482    0.02906   606    0.025474  278    0.025186  232
0.032501  695    0.028153  434    0.059904  4310   0.037786  1204   0.030728  613    0.032769  799    0.028076  317    0.027746  269
0.037399  909    0.030818  513    0.069935  6171   0.044434  1776   0.033909  748    0.036857  1038   0.030689  358    0.03031   313
0.043246  1319   0.033546  621    0.080435  8362   0.053246  2764   0.037149  903    0.041834  1390   0.033326  419    0.032881  356
0.05082   1945   0.036306  703    0.091196  10749  0.065933  4734   0.040597  1123   0.047181  1833   0.035974  477    0.035464  417
0.062296  3263   0.039165  826    0.102363  13422  0.083891  8439   0.044563  1419   0.053027  2467   0.038637  546    0.038066  480
0.078782  5963   0.04206   999    0.113916  16152  0.108176  14357  0.048649  1734   0.059859  3334   0.041334  635    0.040703  546
0.098328  9968   0.044977  1133   0.126053  19047  0.16017   26631  0.052864  2088   0.066849  4385   0.0441    720    0.043399  606
0.126393  16294  0.048378  1353   0.139009  21999  0.309817  37273  0.057915  2653   0.07395   5638   0.046898  809    0.046119  697
0.17977   26779  0.051848  1600   0.152933  24943  0.52808   36109  0.063626  3363   0.081502  7115   0.050252  938    0.048864  771
0.308316  33780  0.055345  1882   0.169141  28179  0.768338  35503  0.07051   4371   0.089441  8846   0.054196  1101   0.051789  872
0.534289  31840  0.058995  2212   0.195703  32258  1.03158   34024  0.078434  5695   0.097577  10813  0.058501  1326   0.0548    995
0.786259  30896  0.06343   2634   0.273087  36709  1.3127    32535  0.089283  7947   0.10595   12701  0.06321   1595   0.058215  1171
1.07162   29140  0.068173  3148   0.464268  34264  1.60464   30497  0.105515  11705  0.114813  15041  0.068306  1980   0.061923  1315
1.35333   27224  0.073416  3791   0.703986  32809  1.90433   28150  0.130141  18085  0.124205  17350  0.073822  2433   0.067087  1624
1.65412   25012  0.080792  4822   0.96111   31036  2.21174   26371  0.194941  32653  0.134142  19764  0.079619  3015   0.072523  1965
1.96497   22792  0.089844  6339   1.23891   29045  2.52598   24810  0.345169  37759  0.146492  22738  0.085657  3663   0.078191  2460
2.28973   20877  0.099895  8326   1.53552   26447  2.85393   22631  0.590619  35328  0.16279   26439  0.092488  4644   0.084067  2997
2.62801   18988  0.11216   11058  1.83571   24098  3.19971   20813  0.858261  33516  0.185359  30880  0.101323  6016   0.090037  3667
2.97359   16963  0.126073  14469  2.13654   22462  3.55208   18630  1.15039   30899  0.220069  35952  0.112158  8076   0.096223  4466
3.31889   15053  0.145007  19359  2.46516   20672  3.91225   17449  1.45224   28151  0.308885  39163  0.128032  11626  0.1026    5341
3.67776   13267  0.176438  27302  2.80225   18771  4.27408   15684  1.75688   26298  0.546352  36754  0.150936  17514  0.109035  6392
4.05021   11653  0.255337  39457  3.14978   16833  4.65432   13794  2.06593   23758  0.808049  34532  0.191354  27958  0.115575  7493
4.43427   10156  0.468204  37352  3.51031   15055  5.03545   12137  2.40605   21696  1.08806   31954  0.272605  39697  0.122177  8709
4.82918   8781   0.738704  34492  3.88121   13163  5.42399   10551  2.76663   19182  1.39788   29225  0.456812  36603  0.129108  9994
5.23272   7610   1.01728   31249  4.26379   11531  5.83255   9540   3.12413   17037  1.7027    26753  0.731382  33093  0.136736  11608
5.65111   6448   1.2986    27839  4.65216   9919   6.24021   8180   3.49291   15164  2.02189   24229  1.03144   29789  0.145119  13225
6.06061   5846   1.60141   24710  5.05421   8061   6.66884   6969   3.87336   13453  2.35346   22143  1.34473   26576  0.155666  15243
6.47951   4678   1.91515   21713  5.47073   6533   7.09258   5971   4.26378   11131  2.69856   20307  1.66673   23305  0.169748  18160
6.90258   4009   2.24727   18845  5.88007   5088   7.52862   5359   4.66099   9108   3.04176   18314  2.01525   20113  0.188567  21878
7.34725   3581   2.58454   15974  6.3204    4136   7.97009   4669   5.07133   7453   3.3995    16463  2.37534   17275  0.223282  27703
7.8224    3325   2.92804   13699  6.74404   3296   8.43611   4100   5.49416   5865   3.74503   15178  2.74481   14415  0.331641  33896
8.29504   2944   3.28842   11649  7.20111   2895   8.91846   3817   5.91835   4713   4.11722   13618  3.11826   11698  0.5668    31044
8.8043    2682   3.66568   10242  7.70583   2752   9.42328   3347   6.35185   3898   4.5051    11822  3.51031   9821   0.822934  28209
9.34657   2680   4.05067   9038   8.23941   2462   9.94163   3049   6.82514   3113   4.8984    10501  3.90875   7887   1.10652   25550
9.91464   2603   4.43951   7865   8.78856   2407   10.4955   2915   7.33364   3029   5.29755   8996   4.31795   6483   1.38768   22921
10.4893   2474   4.85209   6763   9.3372    2316   11.0466   2821   7.87339   2993   5.70051   7501   4.74372   5509   1.68351   20166
11.0882   2409   5.27239   5910   9.92484   2159   11.6088   2719   8.42119   2770   6.1262    6516   5.17231   4569   1.99033   18083
11.6944   2371   5.69563   5263   10.5235   2187   12.1935   2709   9.00796   2759   6.56714   5702   5.61707   3995   2.31535   15941
12.311    2311   6.13485   4608   11.1291   2092   12.7995   2805   9.61221   2677   6.99468   4671   6.05791   3485   2.65583   14173
12.9488   2372   6.57734   3888   11.753    2045   13.4464   2805   10.2313   2568   7.42995   4019   6.55102   3164   3.01983   12430
13.5965   2411   7.01261   3370   12.3915   2084   14.0494   2631   10.8656   2496   7.90745   3368   7.04302   3044   3.38913   10920
14.26     2382   7.49339   3275   13.0595   2077   14.6874   2663   11.5078   2462   8.39729   2869   7.57316   2966   3.76792   9581
14.9307   2330   8.02271   3175   13.7423   2085   15.3492   2664   12.1671   2493   8.89818   2506   8.13276   2933   4.16355   8161
15.6228   2336   8.57848   3070   14.4244   2047   16.0276   2690   12.8301   2552   9.43263   2395   8.71717   2856   4.5678    7275
16.328    2331   9.15851   2957   15.1049   2036   16.7153   2667   13.5209   2531   9.98517   2238   9.30609   2741   4.98639   6024
