# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300       0         300
0.002483  300.0189  0.002482  300.0188  0.00293   300.0237  0.00248   300.0189  0.002557  300.0194  0.002488  300.0193  0.002489  300.0192  0.002481  300.0188  0.00248   300.0192  0.002483  300.0191
0.004976  300.0443  0.005005  300.0448  0.006198  300.0627  0.004991  300.044   0.005193  300.047   0.00499   300.0452  0.004988  300.0447  0.004976  300.0443  0.004975  300.0433  0.004974  300.0443
0.007573  300.076   0.007546  300.0755  0.009702  300.1156  0.007534  300.0751  0.007846  300.0815  0.007526  300.0764  0.007553  300.0755  0.007564  300.076   0.007505  300.0736  0.007477  300.0748
0.010208  300.1126  0.010115  300.1121  0.013508  300.1831  0.010088  300.1094  0.010526  300.1203  0.010085  300.1119  0.01013   300.1108  0.010168  300.1116  0.010045  300.1078  0.009985  300.1088
0.012882  300.1544  0.012693  300.1504  0.017401  300.2655  0.012655  300.148   0.01334   300.165   0.01343   300.1636  0.012723  300.1501  0.012856  300.1537  0.012597  300.1466  0.012499  300.1464
0.015661  300.2009  0.015301  300.1946  0.021469  300.3631  0.01527   300.1915  0.016399  300.217   0.017155  300.2323  0.015455  300.1958  0.015639  300.2018  0.015154  300.1878  0.015021  300.1869
0.018595  300.2549  0.017883  300.2403  0.026746  300.4978  0.018302  300.2437  0.01948   300.2792  0.021401  300.3216  0.018323  300.2464  0.018571  300.2559  0.017726  300.2329  0.017551  300.2303
0.021628  300.3151  0.020381  300.2836  0.033488  300.6942  0.021614  300.3089  0.022964  300.3545  0.025702  300.4263  0.021276  300.3075  0.021814  300.3216  0.020299  300.2782  0.020091  300.2746
0.024698  300.3794  0.022929  300.331   0.041439  300.9503  0.025234  300.3883  0.026943  300.4541  0.030027  300.5454  0.024401  300.3778  0.025403  300.4015  0.022885  300.3268  0.022635  300.3212
0.0279    300.4514  0.025523  300.3835  0.050345  301.2453  0.028957  300.479   0.031862  300.5882  0.03442   300.6792  0.027558  300.4552  0.02906   300.4905  0.025474  300.3755  0.025186  300.3696
0.032501  300.5578  0.028153  300.4436  0.059904  301.5554  0.032703  300.5764  0.037786  300.766   0.038828  300.8201  0.030728  300.5393  0.032769  300.5874  0.028076  300.4282  0.027746  300.4211
0.037399  300.684   0.030818  300.5055  0.069935  301.853   0.036467  300.6804  0.044434  300.9819  0.043256  300.9725  0.033909  300.6289  0.036857  300.6995  0.030689  300.4808  0.03031   300.4713
0.043246  300.8409  0.033546  300.5722  0.080435  302.1338  0.040281  300.7912  0.053246  301.2901  0.047713  301.1298  0.037149  300.7238  0.041834  300.8407  0.033326  300.5367  0.032881  300.5243
0.05082   301.0642  0.036306  300.6426  0.091196  302.3918  0.044131  300.9076  0.065933  301.716   0.052185  301.2922  0.040597  300.8277  0.047181  301.0002  0.035974  300.5918  0.035464  300.5793
0.062296  301.4129  0.039165  300.7158  0.102363  302.6316  0.048047  301.0301  0.083891  302.2289  0.056672  301.4601  0.044563  300.9549  0.053027  301.1834  0.038637  300.6502  0.038066  300.6341
0.078782  301.8683  0.04206   300.7942  0.113916  302.8555  0.052     301.1565  0.108176  302.7384  0.061177  301.6275  0.048649  301.091   0.059859  301.4021  0.041334  300.7086  0.040703  300.6915
0.098328  302.2903  0.044977  300.877   0.126053  303.072   0.056027  301.2884  0.16017   303.4023  0.065694  301.7967  0.052864  301.2382  0.066849  301.6264  0.0441    300.7712  0.043399  300.7493
0.126393  302.7035  0.048378  300.9705  0.139009  303.2875  0.060145  301.4243  0.309817  304.4986  0.070227  301.9655  0.057915  301.4149  0.07395   301.844   0.046898  300.8336  0.046119  300.8102
0.17977   303.2     0.051848  301.0701  0.152933  303.5046  0.064305  301.5645  0.52808   305.5369  0.074777  302.1332  0.063626  301.6199  0.081502  302.0654  0.050252  300.9104  0.048864  300.8706
0.308316  304.0476  0.055345  301.1759  0.169141  303.7397  0.068595  301.7102  0.768338  306.4012  0.079343  302.3005  0.07051   301.8722  0.089441  302.2819  0.054196  301.0062  0.051789  300.9369
0.534289  305.1868  0.058995  301.2819  0.195703  304.0823  0.072934  301.8573  1.03158   307.1647  0.083927  302.4676  0.078434  302.1444  0.097577  302.4928  0.058501  301.1174  0.0548    301.0057
0.786259  306.1223  0.06343   301.4153  0.273087  304.8249  0.077566  302.0104  1.3127    307.8626  0.088533  302.6298  0.089283  302.5011  0.10595   302.695   0.06321   301.2466  0.058215  301.0861
1.07162   306.9307  0.068173  301.5624  0.464268  305.8704  0.082524  302.1745  1.60464   308.4975  0.093157  302.79    0.105515  302.963   0.114813  302.9015  0.068306  301.4017  0.061923  301.1784
1.35333   307.5716  0.073416  301.7331  0.703986  306.683   0.087764  302.3475  1.90433   309.0891  0.097799  302.949   0.130141  303.4925  0.124205  303.1044  0.073822  301.5847  0.067087  301.3108
1.65412   308.1623  0.080792  301.9748  0.96111   307.3488  0.093177  302.5232  2.21174   309.6724  0.102462  303.106   0.194941  304.3859  0.134142  303.306   0.079619  301.7906  0.072523  301.457
1.96497   308.7207  0.089844  302.2767  1.23891   307.9479  0.098755  302.7021  2.52598   310.2539  0.107148  303.2612  0.345169  305.7524  0.146492  303.538   0.085657  302.0043  0.078191  301.6246
2.28973   309.2774  0.099895  302.6084  1.53552   308.5309  0.10454   302.8871  2.85393   310.858   0.111859  303.4162  0.590619  307.1981  0.16279   303.8135  0.092488  302.2525  0.084067  301.8032
2.62801   309.8481  0.11216   302.9941  1.83571   309.0946  0.111102  303.0831  3.19971   311.4811  0.11659   303.5719  0.858261  308.2508  0.185359  304.1481  0.101323  302.5791  0.090037  301.9862
2.97359   310.4214  0.126073  303.3924  2.13654   309.6423  0.118297  303.2815  3.55208   312.1047  0.121339  303.7256  1.15039   309.0919  0.220069  304.567   0.112158  302.9683  0.096223  302.1696
3.31889   310.9788  0.145007  303.8694  2.46516   310.2269  0.127593  303.5291  3.91225   312.7319  0.126105  303.8769  1.45224   309.8059  0.308885  305.3887  0.128032  303.494   0.1026    302.353
3.67776   311.5474  0.176438  304.5248  2.80225   310.8065  0.143268  303.9246  4.27408   313.3597  0.130909  304.0309  1.75688   310.4347  0.546352  306.7742  0.150936  304.12    0.109035  302.5295
4.05021   312.1235  0.255337  305.7592  3.14978   311.3971  0.167257  304.4369  4.65432   314.0158  0.135747  304.1862  2.06593   311.0358  0.808049  307.7711  0.191354  304.9535  0.115575  302.7019
4.43427   312.706   0.468204  307.8388  3.51031   311.9922  0.199633  304.953   5.03545   314.6546  0.140624  304.3403  2.40605   311.6727  1.08806   308.5806  0.272605  306.1316  0.122177  302.8714
4.82918   313.2892  0.738704  309.3852  3.88121   312.6005  0.254808  305.6081  5.42399   315.2743  0.145545  304.4947  2.76663   312.3196  1.39788   309.3073  0.456812  307.9809  0.129108  303.0422
5.23272   313.8589  1.01728   310.4373  4.26379   313.2204  0.435539  307.1519  5.83255   315.8976  0.150495  304.6504  3.12413   312.9433  1.7027    309.9495  0.731382  309.6517  0.136736  303.2231
5.65111   314.4192  1.2986    311.2378  4.65216   313.8363  0.703819  308.6786  6.24021   316.4987  0.155482  304.8054  3.49291   313.5745  2.02189   310.579   1.03144   310.8431  0.145119  303.4124
6.06061   314.9395  1.60141   311.9645  5.05421   314.4552  1.00879   309.8853  6.66884   317.1333  0.160515  304.9597  3.87336   314.2114  2.35346   311.1962  1.34473   311.762   0.155666  303.6395
6.47951   315.4684  1.91515   312.6311  5.47073   315.0664  1.31022   310.7963  7.09258   317.7331  0.165583  305.1144  4.26378   314.8512  2.69856   311.8184  1.66673   312.5301  0.169748  303.9154
