# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e^I: The maximum local electronic temperature
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)
0         324.796   0         324.604   0         324.764   0         324.758   0         324.933   0         324.748   0         324.874   0         324.768
0.002483  48478.7   0.002482  48213.9   0.00293   36287.1   0.002557  47257.7   0.002489  48200.1   0.002481  48207.5   0.00248   48438.2   0.002483  48301.8
0.004976  94637.8   0.005005  93636.8   0.006198  61411.2   0.005193  90603.7   0.004988  93826.9   0.004976  93964.5   0.004975  91030.5   0.004974  94330.8
0.007573  136750    0.007546  137091    0.009702  86798.7   0.007846  131734    0.007553  136657    0.007564  135535    0.007505  134590    0.007477  138503
0.010208  176924    0.010115  178116    0.013508  112516    0.010526  171419    0.01013   178366    0.010168  174893    0.010045  177013    0.009985  180823
0.012882  215124    0.012693  218617    0.017401  135472    0.01334   186387    0.012723  218473    0.012856  212363    0.012597  217916    0.012499  222556
0.015661  250522    0.015301  256689    0.021469  156001    0.016399  181574    0.015455  242395    0.015639  247448    0.015154  257166    0.015021  261838
0.018595  282218    0.017883  266180    0.026746  163374    0.01948   174624    0.018323  244853    0.018571  279714    0.017726  296262    0.017551  301356
0.021628  311581    0.020381  258344    0.033488  161326    0.022964  167796    0.021276  243551    0.021814  306043    0.020299  334802    0.020091  336936
0.024698  340831    0.022929  252136    0.041439  152145    0.026943  157688    0.024401  238147    0.025403  327252    0.022885  370062    0.022635  375670
0.0279    367242    0.025523  245925    0.050345  140461    0.031862  147039    0.027558  232456    0.02906   346900    0.025474  406136    0.025186  414587
0.032501  376206    0.028153  237258    0.059904  126331    0.037786  136687    0.030728  226539    0.032769  366183    0.028076  443437    0.027746  452598
0.037399  380491    0.030818  240087    0.069935  112434    0.044434  125435    0.033909  222358    0.036857  378837    0.030689  480908    0.03031   486010
0.043246  374922    0.033546  276205    0.080435  97816.3   0.053246  110034    0.037149  249847    0.041834  372314    0.033326  516488    0.032881  522928
0.05082   363609    0.036306  311275    0.091196  83326.8   0.065933  90347.1   0.040597  274189    0.047181  363428    0.035974  550816    0.035464  559732
0.062296  325662    0.039165  344237    0.102363  71257     0.083891  71872.3   0.044563  290836    0.053027  351639    0.038637  586864    0.038066  595344
0.078782  267215    0.04206   375352    0.113916  61981.3   0.108176  56251.9   0.048649  307123    0.059859  333479    0.041334  619481    0.040703  631655
0.098328  223800    0.044977  406542    0.126053  54295.6   0.16017   36121.4   0.052864  320705    0.066849  313550    0.0441    653394    0.043399  667489
0.126393  191151    0.048378  406115    0.139009  51658.8   0.309817  7746.26   0.057915  327578    0.07395   293113    0.046898  687774    0.046119  702383
0.17977   136077    0.051848  401366    0.152933  48015.3   0.52808   1669.13   0.063626  327787    0.081502  270363    0.050252  712654    0.048864  737549
0.308316  46988.2   0.055345  389964    0.169141  42682.5   0.768338  935.715   0.07051   318822    0.089441  248494    0.054196  729653    0.051789  769418
0.534289  8061.41   0.058995  379048    0.195703  30473.6   1.03158   703.054   0.078434  294914    0.097577  224566    0.058501  734316    0.0548    800443
0.786259  1764.28   0.06343   364278    0.273087  7707.44   1.3127    611.846   0.089283  262066    0.10595   204741    0.06321   724940    0.058215  825374
1.07162   1002.9    0.068173  351767    0.464268  1203.76   1.60464   564.129   0.105515  224660    0.114813  181757    0.068306  711158    0.061923  846638
1.35333   735.074   0.073416  337229    0.703986  751.83    1.90433   529.404   0.130141  188171    0.124205  162643    0.073822  696127    0.067087  846109
1.65412   602.464   0.080792  319802    0.96111   581.836   2.21174   503.558   0.194941  107890    0.134142  147332    0.079619  679508    0.072523  836976
1.96497   536.686   0.089844  301044    1.23891   499.808   2.52598   485.197   0.345169  14011     0.146492  130178    0.085657  662044    0.078191  822458
2.28973   499.036   0.099895  280888    1.53552   471.595   2.85393   473.281   0.590619  2179.13   0.16279   110421    0.092488  641594    0.084067  805484
2.62801   478.081   0.11216   251390    1.83571   456.575   3.19971   462.813   0.858261  1139.63   0.185359  82114.9   0.101323  613909    0.090037  786718
2.97359   463.962   0.126073  226048    2.13654   444.502   3.55208   455.387   1.15039   773.389   0.220069  54582.6   0.112158  581313    0.096223  769236
3.31889   453.621   0.145007  201005    2.46516   434.915   3.91225   448.492   1.45224   605.9     0.308885  21989.7   0.128032  528632    0.1026    754885
3.67776   445.057   0.176438  154574    2.80225   429.407   4.27408   443.927   1.75688   524.898   0.546352  2245.47   0.150936  456726    0.109035  742521
4.05021   437.364   0.255337  63307.6   3.14978   424.998   4.65432   439.674   2.06593   483.562   0.808049  1060.11   0.191354  335532    0.115575  729955
4.43427   430.959   0.468204  6282.82   3.51031   420.951   5.03545   435.425   2.40605   456.906   1.08806   722.064   0.272605  179067    0.122177  713798
4.82918   425.529   0.738704  1609.23   3.88121   417.135   5.42399   431.639   2.76663   438.972   1.39788   578.395   0.456812  20159.1   0.129108  695877
5.23272   421.087   1.01728   909.015   4.26379   413.274   5.83255   427.732   3.12413   428.38    1.7027    518.454   0.731382  2033.36   0.136736  678490
5.65111   416.06    1.2986    662.937   4.65216   410.357   6.24021   424.144   3.49291   420.518   2.02189   485.38    1.03144   1065.76   0.145119  659469
6.06061   412.003   1.60141   555.839   5.05421   407.46    6.66884   420.778   3.87336   415.009   2.35346   465.202   1.34473   756.809   0.155666  632811
6.47951   407.585   1.91515   502.895   5.47073   404.52    7.09258   417.245   4.26378   409.819   2.69856   452.521   1.66673   618.307   0.169748  593289
6.90258   404.957   2.24727   476.032   5.88007   401.545   7.52862   412.438   4.66099   407.332   3.04176   445.71    2.01525   546.097   0.188567  525681
7.34725   400.587   2.58454   464.153   6.3204    397.31    7.97009   408.475   5.07133   403.397   3.3995    439.156   2.37534   505.701   0.223282  405332
7.8224    396.122   2.92804   453.414   6.74404   394.878   8.43611   403.785   5.49416   399.879   3.74503   434.743   2.74481   479.869   0.331641  148052
8.29504   391.62    3.28842   443.88    7.20111   391.46    8.91846   399.518   5.91835   395.98    4.11722   429.915   3.11826   462.375   0.5668    24295.6
8.8043    386.59    3.66568   436.958   7.70583   387.743   9.42328   395.361   6.35185   392.287   4.5051    424.894   3.51031   451.115   0.822934  8865.53
9.34657   382.149   4.05067   429.359   8.23941   383.801   9.94163   391.1     6.82514   389.559   4.8984    421.458   3.90875   439.962   1.10652   3146.74
9.91464   378.234   4.43951   423.522   8.78856   380.171   10.4955   387.51    7.33364   385.67    5.29755   417.89    4.31795   431.096   1.38768   1465.07
10.4893   374.738   4.85209   418.402   9.3372    376.745   11.0466   384.206   7.87339   381.505   5.70051   414.325   4.74372   424.042   1.68351   994.56
11.0882   371.523   5.27239   413.196   9.92484   373.524   11.6088   381.426   8.42119   377.864   6.1262    409.927   5.17231   418.075   1.99033   766.425
11.6944   369.057   5.69563   408.528   10.5235   370.711   12.1935   378.762   9.00796   374.375   6.56714   406.851   5.61707   412.681   2.31535   639.749
12.311    367.041   6.13485   404.177   11.1291   368.436   12.7995   375.135   9.61221   371.311   6.99468   404.447   6.05791   407.706   2.65583   565.463
12.9488   363.615   6.57734   400.16    11.753    366.9     13.4464   370.799   10.2313   368.45    7.42995   401.153   6.55102   401.685   3.01983   516.429
13.5965   360.157   7.01261   396.557   12.3915   364.735   14.0494   367.863   10.8656   366.281   7.90745   396.251   7.04302   396.774   3.38913   486.01
14.26     358.153   7.49339   390.711   13.0595   361.75    14.6874   366.848   11.5078   364.643   8.39729   393.175   7.57316   391.38    3.76792   465.556
14.9307   356.938   8.02271   385.578   13.7423   358.922   15.3492   364.28    12.1671   362.867   8.89818   388.958   8.13276   386.259   4.16355   449.413
15.6228   354.547   8.57848   381.091   14.4244   357.582   16.0276   361.198   12.8301   360.561   9.43263   385.027   8.71717   381.786   4.5678    437.236
16.328    351.622   9.15851   377.029   15.1049   356.034   16.7153   358.796   13.5209   358.136   9.98517   380.645   9.30609   377.732   4.98639   428.318
17.0409   350.3     9.75809   373.358   15.8176   353.708   17.4031   357.723   14.2142   356.397   10.5627   377.296   9.90203   374.154   5.41381   420.712
17.7589   349.297   10.3676   370.218   16.5311   351.676   18.0694   356.333   14.898    355.351   11.1605   374.404   10.5338   370.947   5.83606   413.21
18.4845   347.881   10.9935   367.537   17.2442   350.765   18.7864   354.842   15.601    353.492   11.7595   372.371   11.1728   368.39    6.27701   407.065
19.2161   346.987   11.647    365.395   17.9617   349.531   19.4962   353.15    16.3308   351.443   12.3691   370.295   11.8137   366.612   6.73333   402.479
19.9559   345.285   12.2946   363.394   18.6978   348.501   20.1929   351.283   17.0615   350.513   13.0113   366.68    12.4597   364.274   7.20743   396.572
20.7073   343.515   12.9637   360.852   19.4214   347.417   20.9329   349.434   17.7883   349.611   13.6856   363.124   13.149    361.192   7.72494   390.401
21.458    342.532   13.6598   358.035   20.1615   345.704   21.6464   348.573   18.5135   348.89    14.3321   361.634   13.8366   358.612   8.26767   384.851
22.2057   341.588   14.3679   356.366   20.9085   344.221   22.3818   347.222   19.2413   347.812   14.9544   360.459   14.5275   357.56    8.8356    379.747
22.9544   340.885   15.0606   355.2     21.6522   343.487   23.1184   346.524   19.9798   346.441   15.6517   357.93    15.2232   355.667   9.43254   374.934
23.7022   340.309   15.7772   353.108   22.3998   342.523   23.8625   345.705   20.724    345.013   16.3546   355.305   15.9394   353.597   10.0482   370.782
24.4635   339.506   16.4953   350.985   23.1468   342.134   24.6143   344.784   21.4733   344.121   17.0582   354.177   16.6543   351.733   10.6685   367.595
25.2153   338.566   17.2192   350.325   23.9001   341.565   25.3683   343.829   22.2141   343.43    17.7679   353.074   17.3766   350.728   11.3146   364.509
25.9711   338.164   17.9438   349.155   24.6515   340.845   26.1137   343.443   22.9615   342.946   18.4806   351.583   18.0933   349.925   11.9659   362.363
26.7373   337.476   18.6399   348.336   25.4056   340.01    26.8666   342.608   23.7126   342.5     19.2093   350.663   18.8222   348.678   12.5793   360.166
27.4977   336.521   19.3755   347.611   26.1572   339.786   27.6193   341.282   24.4689   341.82    19.949    349.019   19.5646   347.75    13.2474   357.112
28.2659   335.461   20.1185   345.962   26.9098   338.943   28.3757   340.165   25.2241   341.183   20.6932   347.12    20.3112   346.249   13.9567   354.309
29.0192   335.998   20.8702   344.734   27.6665   337.939   29.1257   341.097   25.9758   340.825   21.4314   346.189   21.0534   345.093   14.665    353.24
29.777    336.357   21.6147   343.907   28.4236   337.197   29.8706   341.328   26.7344   340.166   22.1742   345.21    21.8026   344.353   15.3642   351.47
30.5381   335.619   22.3627   343.122   29.1758   337.957   30.6285   340.353   27.4888   339.318   22.927    344.483   22.5489   343.478   16.0826   348.988
31.3046   334.989   23.1144   342.656   29.9269   338.033   31.3941   339.717   28.2438   338.436   23.6197   344.057   23.3051   343.106   16.8246   347.611
32.0713   334.496   23.8622   342.152   30.6913   337.224   32.1577   339.028   28.9984   338.951   24.3444   343.352   24.0598   342.491   17.5607   346.771
32.8287   333.67    24.6164   341.464   31.4534   336.667   32.9085   338.155   29.7451   339.12    25.0959   342.294   24.8071   341.885   18.3095   345.493
33.5932   333.468   25.3765   340.94    32.2087   336.077   33.6661   338.054   30.4968   338.596   25.8509   341.965   25.5653   341.145   19.0484   344.908
34.354    333.188   26.1267   340.697   32.9765   335.473   34.4293   337.611   31.2552   337.994   26.6041   341.219   26.3242   340.968   19.7953   343.576
35.1155   332.658   26.8853   340.181   33.7384   335.345   35.1902   337.235   32.0199   337.508   27.3661   340.325   27.0714   340.188   20.5532   342.05
35.8807   332.871   27.644    339.206   34.493    334.939   35.9494   337.384   32.7837   336.915   28.1148   339.267   27.8372   339.18    21.3045   341.061
36.6494   332.829   28.3996   338.418   35.2624   334.672   36.7084   337.159   33.5514   336.738   28.8717   339.428   28.5974   338.698   22.0629   340.412
37.4186   332.467   29.1543   339.194   36.0239   334.882   37.474    336.836   34.3111   336.435   29.6282   340.115   29.3506   339.462   22.76     339.61
38.189    332.079   29.9083   339.158   36.7896   334.726   38.2369   336.437   35.0682   336.141   30.3793   339.479   30.1099   339.262   23.5217   339.245
38.9595   331.588   30.6697   338.532   37.558    334.373   38.9989   335.828   35.8244   336.188   31.135    338.765   30.8671   338.525   24.28     338.609
39.7262   330.984   31.3973   338.099   38.3192   334.06    39.7601   335.15    36.5868   336.234   31.8954   338.423   31.6241   338.169   25.0395   337.85
40.4912   331.469   32.1564   337.727   39.0828   333.433   40.5168   335.893   37.3451   335.978   32.6579   337.669   32.383    337.628   25.7925   337.609
41.2515   331.9     32.9177   337.171   39.8515   333.11    41.2734   336.25    38.1133   335.713   33.4194   337.415   33.1393   337.148   26.5577   337.034
42.0118   331.704   33.6764   336.964   40.6089   333.689   42.0317   335.939   38.8785   335.188   34.1762   337.274   33.8551   337.038   27.3222   336.281
42.7779   331.148   34.4358   336.781   41.3737   333.903   42.7986   335.392   39.6348   334.676   34.9351   336.634   34.6163   336.624   28.0835   335.378
43.5469   331.188   35.1908   336.348   42.1299   333.666   43.5571   335.401   40.3944   335.129   35.6903   336.859   35.3657   336.647   28.8429   335.306
44.3094   331.04    35.95     336.644   42.9002   333.294   44.3212   335.254   41.1553   335.41    36.4522   336.894   36.1181   336.677   29.6045   336.003
