# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat: The average lattice temperature of the simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)
0         396.4258  0         408.8179  0         403.4132  0         409.3769  0         409.1335  0         408.7231  0         408.6491  0         408.76    0         408.7773  0         396.3526
0.002483  395.9549  0.002482  408.313   0.00293   402.8878  0.00248   408.9371  0.002557  408.7093  0.002488  408.3426  0.002489  408.075   0.002481  408.2924  0.00248   408.2408  0.002483  395.9377
0.004976  390.1009  0.005005  408.0184  0.006198  401.1314  0.004991  408.2471  0.005193  407.7923  0.00499   408.0047  0.004988  406.7068  0.004976  394.4269  0.004975  406.2266  0.004974  395.6518
0.007573  395.2101  0.007546  407.3266  0.009702  401.6384  0.007534  408.063   0.007846  407.9224  0.007526  406.5126  0.007553  404.5183  0.007564  407.4608  0.007505  407.511   0.007477  395.2888
0.010208  393.4269  0.010115  405.8282  0.013508  400.3647  0.010088  407.8552  0.010526  406.9567  0.010085  406.8196  0.01013   406.6932  0.010168  407.2752  0.010045  407.1194  0.009985  394.9574
0.012882  394.1335  0.012693  406.3301  0.017401  397.4859  0.012655  407.1656  0.01334   406.9884  0.01343   403.2646  0.012723  406.3401  0.012856  405.1803  0.012597  406.5564  0.012499  394.4273
0.015661  393.3818  0.015301  403.4267  0.021469  397.6255  0.01527   406.6043  0.016399  405.8461  0.017155  401.5878  0.015455  405.9001  0.015639  403.8799  0.015154  404.988   0.015021  393.8217
0.018595  392.9038  0.017883  405.2978  0.026746  395.53    0.018302  405.373   0.01948   393.3849  0.021401  404.078   0.018323  404.868   0.018571  404.8639  0.017726  405.6198  0.017551  394.0425
0.021628  391.9448  0.020381  404.6611  0.033488  391.2962  0.021614  404.1726  0.022964  404.0024  0.025702  402.2153  0.021276  404.1965  0.021814  397.7965  0.020299  403.1872  0.020091  393.1202
0.024698  387.1563  0.022929  404.2842  0.041439  387.8242  0.025234  404.5003  0.026943  401.4981  0.030027  399.9285  0.024401  403.8879  0.025403  400.4647  0.022885  405.1305  0.022635  393.0698
0.0279    390.2981  0.025523  402.3755  0.050345  384.4068  0.028957  401.0218  0.031862  399.6679  0.03442   399.8635  0.027558  402.7246  0.02906   400.7129  0.025474  404.7652  0.025186  392.8195
0.032501  388.2602  0.028153  403.0984  0.059904  380.2034  0.032703  402.7025  0.037786  398.4214  0.038828  397.3761  0.030728  401.9235  0.032769  398.9629  0.028076  404.1811  0.027746  392.5193
0.037399  386.5736  0.030818  400.9744  0.069935  374.8155  0.036467  400.311   0.044434  393.7038  0.043256  396.0614  0.033909  400.9949  0.036857  397.5742  0.030689  403.649   0.03031   392.0492
0.043246  384.0826  0.033546  401.4232  0.080435  369.4599  0.040281  399.1414  0.053246  388.6338  0.047713  395.8988  0.037149  397.7119  0.041834  395.8773  0.033326  403.2433  0.032881  391.3975
