# SYSTEM: CrFeCoNi
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat^I: The maximum local lattice temperature
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions and different high entropy alloy (HEA) structure

#t(ps)    T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)
0         784218      0         925783      0         857319      0         875659      0         889336      0         906103      0         869230      0         773533
0.002483  774993      0.002482  867433      0.00293   852752      0.002557  915885      0.002489  941631      0.002481  902056      0.00248   867027      0.002483  810441
0.004976  693329      0.005005  863314      0.006198  453871      0.005193  760047      0.004988  778764      0.004976  805488      0.004975  865953      0.004974  809035
0.007573  718601      0.007546  924648      0.009702  460323      0.007846  759166      0.007553  763142      0.007564  855517      0.007505  872436      0.007477  742036
0.010208  745189      0.010115  838906      0.013508  305802      0.010526  800077      0.01013   809184      0.010168  783677      0.010045  758364      0.009985  697916
0.012882  741634      0.012693  707078      0.017401  301446      0.01334   799459      0.012723  806290      0.012856  794183      0.012597  754505      0.012499  657248
0.015661  639349      0.015301  686921      0.021469  299375      0.016399  543292      0.015455  606617      0.015639  800773      0.015154  833631      0.015021  802060
0.018595  508121      0.017883  700840      0.026746  163141      0.01948   457543      0.018323  635462      0.018571  536141      0.017726  875542      0.017551  805069
0.021628  468488      0.020381  696808      0.033488  143688      0.022964  437557      0.021276  665181      0.021814  497516      0.020299  772769      0.020091  878850
0.024698  436379      0.022929  736632      0.041439  108236      0.026943  431217      0.024401  505935      0.025403  444826      0.022885  785565      0.022635  713032
0.0279    430797      0.025523  786394      0.050345  71481.6     0.031862  240112      0.027558  500504      0.02906   421719      0.025474  700738      0.025186  712029
0.032501  262603      0.028153  715625      0.059904  63877.7     0.037786  181770      0.030728  488279      0.032769  418610      0.028076  716079      0.027746  636403
0.037399  227903      0.030818  665276      0.069935  46980.5     0.044434  89561.2     0.033909  535678      0.036857  235144      0.030689  714210      0.03031   664817
0.043246  225344      0.033546  660181      0.080435  48656.1     0.053246  82967.7     0.037149  529140      0.041834  237097      0.033326  767619      0.032881  697614
0.05082   90747.6     0.036306  677604      0.091196  47198.6     0.065933  56152.1     0.040597  464045      0.047181  183412      0.035974  768102      0.035464  704209
0.062296  76336       0.039165  660856      0.102363  47186.2     0.083891  25906       0.044563  286536      0.053027  157983      0.038637  773835      0.038066  662169
0.078782  43148.8     0.04206   523781      0.113916  36762.9     0.108176  19591.1     0.048649  263342      0.059859  159346      0.041334  757963      0.040703  698974
0.098328  25772.8     0.044977  508393      0.126053  35470.4     0.16017   8874.09     0.052864  301036      0.066849  131347      0.0441    794448      0.043399  637131
0.126393  14208.7     0.048378  504267      0.139009  29002.3     0.309817  7663.4      0.057915  264633      0.07395   128762      0.046898  737916      0.046119  626173
