# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of frenkel pairs
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    N_FP   t(ps)     N_FP  t(ps)     N_FP   t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP   t(ps)     N_FP   t(ps)     N_FP
0         0      0         0     0         0      0         0     0         0     0         0     0         0      0         0      0         0
0.002479  1      0.002479  1     0.002842  2      0.002478  1     0.002503  1     0.002482  1     0.002478  1      0.002478  1      0.002481  1
0.004963  1      0.005052  1     0.005909  2      0.004976  1     0.005046  2     0.004992  1     0.004993  1      0.004964  1      0.005011  1
0.007849  2      0.008049  4     0.00948   4      0.007556  3     0.007932  5     0.007533  4     0.008341  3      0.007911  3      0.007608  2
0.01133   7      0.011685  9     0.013917  10     0.010187  4     0.010919  6     0.01008   4     0.011738  4      0.012134  6      0.010211  3
0.015824  9      0.015726  13    0.018541  19     0.013101  7     0.013919  8     0.012659  5     0.015294  10     0.016574  13     0.012834  5
0.02081   21     0.019939  19    0.023742  34     0.016042  9     0.016928  13    0.015249  8     0.018866  12     0.021335  25     0.015478  8
0.026016  40     0.024281  35    0.029483  56     0.01899   12    0.019954  18    0.017861  9     0.022522  23     0.026309  43     0.018669  12
0.032352  64     0.029194  52    0.036115  98     0.021944  16    0.022992  27    0.02049   13    0.027654  42     0.031469  69     0.022325  16
0.040013  126    0.034331  83    0.043667  154    0.024903  22    0.02605   33    0.02316   17    0.033217  65     0.036861  106    0.026106  27
0.050339  229    0.039677  123   0.053092  287    0.027904  29    0.02913   39    0.025867  22    0.039313  117    0.044166  167    0.029973  31
0.063653  455    0.046005  186   0.065734  484    0.03093   37    0.032508  53    0.028622  27    0.047182  176    0.055114  307    0.034056  50
0.079774  807    0.052886  257   0.087152  1018   0.033965  52    0.03596   71    0.03141   34    0.058705  332    0.071073  615    0.038169  76
0.098299  1287   0.059909  350   0.122775  1945   0.03701   66    0.039494  87    0.034239  41    0.072784  590    0.095352  1224   0.042308  98
0.123479  1968   0.067136  488   0.202646  2860   0.040106  78    0.043277  104   0.037148  52    0.095439  1181   0.128038  1988   0.046471  126
0.16397   2615   0.074683  625   0.397728  3828   0.043208  98    0.047148  136   0.040127  63    0.1237    1913   0.201731  2826   0.050726  155
0.239483  2902   0.082366  787   0.619907  6821   0.046377  109   0.051139  166   0.043164  72    0.170864  2676   0.359431  4024   0.055148  204
0.443774  4407   0.090148  957   0.854549  10149  0.049564  131   0.055202  197   0.047122  90    0.287767  3190   0.571926  7119   0.059639  246
0.672161  7651   0.098223  1164  1.11125   12360  0.052859  158   0.059541  253   0.05114   115   0.492554  5129   0.786608  9728   0.064669  323
0.908574  10476  0.106522  1365  1.38694   13422  0.056163  178   0.064312  299   0.055628  139   0.723501  8278   1.02253   11764  0.069928  412
1.16783   12656  0.115007  1578  1.67183   13078  0.059495  204   0.069976  382   0.060227  177   0.964161  10789  1.26918   13617  0.075433  494
1.44208   14303  0.123796  1749  1.96363   8156   0.062838  229   0.078066  530   0.065237  231   1.21973   11931  1.52527   15523  0.081795  612
1.72254   13385  0.132862  1937  2.26096   4938   0.066224  258   0.089015  731   0.072073  313   1.48913   12027  1.79172   14319  0.091299  798
1.99566   10099  0.142305  2122  2.5718    3645   0.069647  297   0.104851  1061  0.080107  414   1.77086   9542   2.05883   10001  0.106267  1150
2.27286   6768   0.151912  2284  2.8855    2949   0.073244  334   0.126505  1540  0.08856   571   2.06459   5155   2.33123   6987   0.127792  1642
2.55513   4686   0.161859  2387  3.20115   2497   0.076969  372   0.166572  2356  0.103435  875   2.35543   3416   2.59581   5648   0.162649  2337
2.84501   3991   0.171937  2478  3.53308   1935   0.0809    419   0.242172  2792  0.126896  1401  2.65601   2661   2.86977   5193   0.243474  2753
3.12828   3649   0.182315  2562  3.86534   1631   0.086562  504   0.425089  3714  0.157281  2096  2.9691    2258   3.15033   4856   0.438099  3846
3.42809   3209   0.193032  2609  4.20804   1403   0.092884  574   0.654161  5721  0.218922  2687  3.29214   1926   3.43377   4670   0.667016  6604
3.74275   2813   0.203929  2633  4.56062   1172   0.100619  700   0.905323  6409  0.391484  3261  3.62723   1648   3.72627   3998   0.926923  8863
4.0654    2436   0.21514   2655  4.91086   984    0.109648  875   1.1791    5557  0.626452  4825  3.97444   1420   4.01705   3360   1.20456   8548
4.3939    2115   0.226795  2656  5.28521   834    0.120671  1077  1.45374   4063  0.867873  7076  4.32027   1172   4.33132   2870   1.48579   6111
4.7281    1792   0.2395    2705  5.66763   692    0.134347  1345  1.73689   3112  1.13636   9003  4.68444   1003   4.64521   2468   1.77755   3823
5.06915   1552   0.25351   2742  6.05952   551    0.153632  1763  2.03376   2375  1.40663   8188  5.05667   832    4.96576   2040   2.07609   2815
5.41289   1377   0.268894  2743  6.46053   445    0.191264  2348  2.34935   1830  1.70174   5199  5.43082   674    5.29794   1790   2.38257   2277
5.7609    1242   0.286235  2806  6.84227   343    0.29363   2791  2.67514   1562  2.00593   3115  5.82205   541    5.6282    1648   2.69717   1941
6.1103    1140   0.30624   2896  7.24631   326    0.478836  3884  3.01293   1229  2.30792   2294  6.21712   439    5.9664    1492   3.01976   1702
6.47621   926    0.330783  3010  7.65542   277    0.699408  5728  3.37226   999   2.62796   1921  6.62674   340    6.31547   1229   3.35197   1471
6.84241   779    0.362831  3260  8.09328   241    0.947992  6582  3.73208   808   2.95185   1493  7.03338   270    6.66878   1042   3.70094   1263
7.2161    727    0.43237   3656  8.54487   197    1.1852    6755  4.09929   636   3.27672   1190  7.4492    201    7.03157   934    4.05623   1078
7.60513   685    0.660614  5859  9.01006   174    1.449     5518  4.48588   495   3.63195   1009  7.87783   169    7.40273   914    4.42168   882
7.99739   591    0.923549  7924  9.49094   156    1.71711   3690  4.88746   351   3.98963   824   8.32111   140    7.78771   814    4.78761   746
8.40686   500    1.19982   8938  9.97585   153    1.98769   2538  5.30088   294   4.36359   707   8.79437   127    8.18243   742    5.15867   574
8.82715   433    1.48838   8461  10.4979   149    2.26101   1995  5.71916   230   4.74379   567   9.28209   125    8.57199   657    5.5519    464
9.25531   380    1.78546   5238  11.057    149    2.54216   1741  6.15834   190   5.13996   453   9.81238   125    8.98497   601    5.94794   363
9.69623   328    2.09298   3403  11.6457   150    2.85316   1479  6.61499   149   5.53129   339   10.3675   125    9.42588   538    6.35163   303
10.1379   301    2.40324   2569  12.2477   148    3.1631    1240  7.06538   138   5.93463   271   10.9561   125    9.8604    490    6.75951   220
10.6076   287    2.72514   1933  12.8911   151    3.48102   1067  7.56366   129   6.34768   227   11.5618   125    10.3      441    7.17422   177
11.0928   274    3.04818   1616  13.581    149    3.80364   962   8.09098   129   6.78054   179   12.183    125    10.7469   411    7.60727   139
11.5967   267    3.38887   1311  14.2513   150    4.14057   860   8.68229   126   7.22467   157   12.824    125    11.2217   411    8.0632    118
12.1165   268    3.75155   1016  14.9093   147    4.47604   723   9.31111   126   7.67525   142   13.4976   125    11.6892   406    8.5165    105
12.6702   271    4.1084    845   15.6235   146    4.83139   588   9.92491   128   8.13234   140   14.1842   125    12.192    399    8.99751   101
13.2876   268    4.4873    717   16.3441   146    5.20645   528   10.5862   126   8.65528   141   14.8712   125    12.7174   378    9.54651   101
13.935    261    4.85948   589   17.0705   147    5.58331   428   11.2764   125   9.21806   138   15.5748   126    13.3148   374    10.1421   101
14.5658   274    5.26723   453   17.797    149    5.97124   366   11.9742   127   9.81404   138   16.2944   125    13.9296   370    10.7776   101
15.2261   271    5.66805   377   18.5309   149    6.37471   318   12.6842   127   10.4332   139   17.0168   126    14.5243   378    11.4426   101
15.928    263    6.08677   337   19.2687   149    6.79989   257   13.4109   125   11.0695   138   17.7343   125    15.1582   362    12.1226   101
16.626    278    6.49995   262   20.0228   146    7.2261    203   14.1443   125   11.7201   139   18.4738   125    15.8403   373    12.8179   101
17.3264   276    6.93898   233   20.7805   147    7.67949   186   14.8838   126   12.3809   139   19.2029   125    16.5264   359    13.5344   101
18.0407   274    7.39717   191   21.5385   147    8.15522   176   15.6193   125   13.0805   140   19.9502   125    17.228    379    14.2514   101
18.7651   289    7.86314   148   22.2986   148    8.64968   168   16.3705   126   13.7996   138   20.6984   125    17.9294   359    14.9701   101
19.4989   258    8.35248   132   23.057    148    9.18238   165   17.1136   127   14.5065   139   21.4067   124    18.6543   367    15.7064   101
20.2487   273    8.83198   118   23.8077   149    9.77603   167   17.856    127   15.2118   138   22.1475   124    19.384    362    16.4389   101
20.9949   277    9.33927   111   24.5625   147    10.4175   165   18.607    125   15.9467   140   22.9033   125    20.1248   349    17.1733   101
21.7189   272    9.90105   111   25.3165   146    11.095    169   19.3504   125   16.6879   138   23.6574   126    20.8702   374    17.9221   101
22.4652   274    10.5056   111   26.0717   146    11.7684   169   20.0976   125   17.4296   138   24.4194   125    21.6235   409    18.6636   101
23.2156   299    11.1321   111   26.8314   148    12.474    173   20.8535   125   18.1684   138   25.1741   124    22.3701   370    19.4112   101
23.9663   296    11.7835   111   27.5949   147    13.2009   165   21.6055   125   18.9087   139   25.9262   125    23.1243   416    20.1616   101
24.717    269    12.4475   111   28.3514   146    13.9384   172   22.3653   126   19.6591   138   26.6787   124    23.8747   409    20.9128   101
25.476    295    13.1434   111   29.1117   147    14.6766   170   23.124    125   20.4157   138   27.4428   125    24.6157   400    21.6663   101
