# SYSTEM: Ni
# Method: Classical MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of defected atoms
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)             N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def  t(ps)              N_def
0                  0      0                  0      0                  0      0                  0      0                  0      0                  0      0                  0      0                  0      0                  0
0.002479000000001  21     0.002842000000001  36     0.002478           19     0.002503000000001  32     0.002482000000001  20     0.002478           19     0.002478           19     0.002481           20     0.002479000000001  19
0.005051999999999  35     0.005908999999999  50     0.004975999999999  21     0.005046           37     0.004992000000001  41     0.004992999999999  19     0.004964000000001  20     0.005011           30     0.004963           26
0.008049           89     0.00948            109    0.007556000000001  60     0.007932           90     0.007532999999999  60     0.008341000000001  67     0.007911           64     0.007608000000001  50     0.007849           59
0.011685           125    0.013916999999999  218    0.010186999999998  89     0.010919000000001  108    0.010079999999999  77     0.011738000000001  129    0.012134           127    0.010211000000002  79     0.011330000000001  130
0.015726000000001  217    0.018540999999999  352    0.013100999999999  144    0.013919000000001  170    0.012658999999999  107    0.015294000000001  201    0.016573999999999  279    0.012834000000002  100    0.015823999999999  206
0.019939000000001  355    0.023741999999999  551    0.016041999999999  175    0.016928           236    0.015249000000001  140    0.018865999999999  286    0.021335000000001  441    0.015478000000002  151    0.020810000000001  400
0.024280999999999  558    0.029482999999999  893    0.018989999999999  245    0.019953999999999  330    0.017861           187    0.022521999999999  416    0.026309000000001  695    0.018668999999999  212    0.026015999999999  625
0.029194           830    0.036114999999999  1404   0.021944000000001  332    0.022991999999999  421    0.020489999999999  244    0.027653999999998  645    0.031469000000001  1034   0.022324999999999  331    0.032352           1041
0.034331000000002  1172   0.043666999999999  2264   0.024902999999998  415    0.026050000000002  508    0.023160000000001  316    0.033217000000001  1033   0.036860999999998  1504   0.026105999999999  463    0.040012999999998  1731
0.039677000000001  1630   0.053092           3485   0.027904           534    0.029129999999999  657    0.025867000000002  368    0.039313           1525   0.044166000000001  2291   0.029972999999998  630    0.050339000000001  3029
0.046005000000001  2302   0.065733999999999  5820   0.030930000000002  648    0.032508           811    0.028621999999999  452    0.047181999999999  2386   0.055114           3811   0.034056           858    0.063652999999999  5347
0.052886000000001  3194   0.087152           10827  0.033964999999999  790    0.035959999999999  1007   0.031410000000001  519    0.058705           4054   0.071072999999998  6819   0.038169           1109   0.079774000000001  8907
0.059909000000001  4265   0.122775000000001  20204  0.037009999999999  935    0.039494000000001  1211   0.034239           624    0.072783999999999  6800   0.095351999999998  12337  0.042307999999999  1410   0.098299000000001  13500
0.067136000000002  5517   0.202646000000001  36547  0.040106000000002  1101   0.043277           1531   0.037147999999998  755    0.095438999999999  12383  0.128038           19948  0.046471           1832   0.123479           19958
0.074683           6968   0.397728000000001  39002  0.043208           1283   0.047148           1854   0.040126999999998  899    0.123699999999999  19724  0.201730999999999  32363  0.050726000000001  2272   0.163969999999999  29278
0.082366           8583   0.619907000000001  38378  0.046377           1517   0.051138999999999  2222   0.043164000000001  1034   0.170864000000002  30356  0.359431000000001  35337  0.055147999999999  2794   0.239483           39346
0.090147999999999  10312  0.854548999999999  37373  0.049564           1739   0.055202000000001  2672   0.047122000000002  1313   0.287766999999999  40121  0.571926000000001  34821  0.059639000000001  3368   0.443774000000001  37364
0.098223000000001  12225  1.111253           36220  0.052859000000002  1982   0.059540999999999  3191   0.05114            1592   0.492553999999998  37683  0.786608000000001  34690  0.064668999999999  4119   0.672160999999999  36437
0.106521999999998  14372  1.386935           34717  0.056163000000002  2246   0.064312000000001  3779   0.055627999999999  1972   0.723500999999999  37083  1.022527           34802  0.069928000000001  4943   0.908574000000002  35882
0.115006999999999  16481  1.671828           32893  0.059494999999998  2549   0.069976000000001  4644   0.060227000000001  2423   0.964161000000001  36101  1.269179           34061  0.075433           5869   1.16783            34830
0.123795999999999  18740  1.963628           30771  0.062837999999999  2864   0.078066           6011   0.065237           3009   1.219732           34496  1.525272           33043  0.081795           7180   1.442084           33553
0.132861999999999  20986  2.260957           28444  0.066223999999998  3249   0.089015           8182   0.072073           3853   1.489129           33202  1.791718           32172  0.091298999999999  9219   1.722536           31860
0.142305           23250  2.571805           26305  0.069647           3622   0.104851           11798  0.080107000000002  5060   1.770858           30986  2.058834           30900  0.106266999999999  12735  1.995664           30162
0.151911999999999  25578  2.885502           24440  0.073243999999999  4113   0.126505000000002  17362  0.088560000000001  6590   2.064589           29144  2.331231           29664  0.127791999999999  18590  2.272858           28546
0.161859           27971  3.201153           23049  0.076968999999998  4565   0.166571999999999  27778  0.103435000000001  9780   2.355433           27523  2.595809           28152  0.162648999999998  27640  2.555135           27106
0.171937           30209  3.533076           21083  0.0809             5092   0.242172           40436  0.126895999999999  15931  2.656014           25449  2.869774           27117  0.243473999999999  40989  2.845015           25571
