# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# C_i: Cluster index
# S_cluster: Cluster size. This number represents the number of atoms in each cluster averaged over the number of simulations for this system and method. This is the reason the number is fraction
# std_error: The standard error of S_cluster 

C_i  S_cluster         std_error
1    363.142857142857  82.1924074153732
2    268.714285714286  57.4210490216636
3    172               50.0927710781278
4    120.285714285714  30.6848142104405
5    75.2857142857143  5.51497651730219
6    65.2857142857143  6.74965355623914
7    56.8571428571429  6.68127650844604
8    52.1428571428571  6.98443361520246
9    44.4285714285714  7.00631396485696
10   39.7142857142857  6.60704633134124
11   37.7142857142857  6.84771176836358
12   35                6.6332495807108
13   32.4285714285714  5.5242200175881
14   31.5714285714286  5.41539754886425
15   29                5.05210941328566
16   27.7142857142857  4.90244975552449
17   26.5714285714286  4.28650786303536
18   24.5714285714286  3.59799641902164
19   23.4285714285714  3.39367158144702
20   23                3.30223589477825
21   22.1428571428571  3.01131652452617
22   21.5714285714286  3.0225906804873
23   20.7142857142857  2.66113371574245
24   20.2857142857143  2.31675353431812
25   20                2.25726340847454
26   19.5714285714286  2.08003139693729
27   19.2857142857143  1.87355386408629
28   18.4285714285714  1.64544309934962
29   17.8571428571429  1.53419082796067
30   17.2857142857143  1.22890360957752
31   17.1428571428571  1.22335548368239
32   16.5714285714286  1.28835707223511
33   16                1.4309504001254
34   15.7142857142857  1.52306529444947
35   15.5714285714286  1.39483985865493
36   15.4285714285714  1.41180638860701
37   15.1428571428571  1.29887444733199
38   14.2857142857143  0.918442929618377
39   14                0.975900072948533
40   14                0.975900072948533
41   13.8571428571429  0.884484553381272
42   13.7142857142857  0.837066468154616
43   13.5714285714286  0.751415897050452
44   13.5714285714286  0.751415897050452
45   13.5714285714286  0.751415897050452
46   13.5714285714286  0.751415897050452
47   13.5714285714286  0.751415897050452
48   13.5714285714286  0.751415897050452
49   13.4285714285714  0.685118789044674
