# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of frenkel pairs
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    N_FP   t(ps)     N_FP   t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP  t(ps)     N_FP
0         0      0         0      0         0     0         0     0         0     0         0     0         0
0.002481  1      0.002481  1      0.00248   1     0.002505  1     0.00248   1     0.002483  1     0.002482  1
0.00497   1      0.00506   1      0.004983  1     0.005053  2     0.005001  1     0.005019  1     0.004979  1
0.007875  2      0.008013  4      0.007569  3     0.00791   5     0.008376  2     0.007629  2     0.007489  2
0.0114    6      0.01144   8      0.010201  4     0.010956  8     0.011792  5     0.01025   3     0.010085  4
0.015231  12     0.016018  14     0.013289  8     0.014059  10    0.015289  9     0.0129    5     0.012789  7
0.019435  19     0.021446  28     0.016459  12    0.017379  18    0.018904  16    0.01557   8     0.015546  9
0.025305  43     0.027375  52     0.019668  14    0.020932  27    0.023244  29    0.018246  9     0.018316  11
0.031957  64     0.033739  83     0.022935  24    0.024802  42    0.028163  46    0.020939  11    0.021096  17
0.03915   115    0.040548  123    0.026418  32    0.029709  55    0.033807  68    0.023634  15    0.023903  21
0.047958  204    0.048348  210    0.030008  48    0.03501   91    0.039976  103   0.026354  20    0.026884  27
0.058754  362    0.059022  360    0.033997  68    0.040513  132   0.046963  162   0.029079  24    0.030067  31
0.072208  599    0.070884  562    0.038332  98    0.046789  188   0.05409   234   0.031867  31    0.03327   44
0.089061  992    0.08357   848    0.043524  129   0.054563  286   0.061818  364   0.034682  38    0.036701  60
0.117954  1645   0.098087  1211   0.050132  184   0.06512   444   0.070493  495   0.037619  49    0.04034   74
0.163717  2369   0.124373  1810   0.058235  297   0.080397  750   0.079574  667   0.040947  65    0.044054  90
0.269671  2648   0.183111  2489   0.067422  421   0.103797  1288  0.089129  872   0.044345  76    0.047831  116
0.45079   4155   0.332252  3021   0.078035  629   0.134179  1971  0.099306  1102  0.04786   91    0.05173   146
0.664046  6845   0.543133  5395   0.094736  973   0.20658   2549  0.110234  1368  0.051437  111   0.055687  175
0.89136   9193   0.786326  8011   0.120944  1580  0.359313  3146  0.123384  1652  0.055059  125   0.059746  210
1.14257   10888  1.02291   10024  0.164403  2273  0.579278  5153  0.143632  2013  0.058743  148   0.064281  254
1.40084   12143  1.29514   11237  0.296443  2985  0.834979  7780  0.168899  2307  0.062618  186   0.069177  301
1.66632   10894  1.57382   10154  0.489351  4836  1.09178   9467  0.20909   2429  0.067338  232   0.07419   368
1.92735   7165   1.85127   7120   0.709598  7252  1.3676    9090  0.324719  2538  0.072389  269   0.079336  435
2.1981    5273   2.13561   4315   0.950178  9516  1.65477   5838  0.546443  3723  0.077586  329   0.084844  523
2.48105   4093   2.4359    3126   1.20744   9645  1.93964   3669  0.800056  6338  0.083261  398   0.091966  672
2.76494   3404   2.73589   2611   1.45912   7827  2.24404   2706  1.09819   8043  0.089646  479   0.100725  834
3.06792   3127   3.04941   2274   1.71439   4929  2.55384   2232  1.40956   7069  0.09708   581   0.111001  1040
3.36963   2560   3.36583   1913   1.98015   3412  2.87642   1745  1.72617   3664  0.109712  824   0.121862  1252
3.67555   2064   3.69459   1537   2.27982   2478  3.21236   1405  2.04755   2262  0.129971  1229  0.133152  1472
3.99103   1772   4.03816   1243   2.58785   1951  3.5659    1194  2.37996   1737  0.165709  1881  0.145334  1689
4.31785   1492   4.38589   1021   2.89528   1671  3.92602   954   2.7225    1472  0.261853  2382  0.160764  1947
4.63943   1358   4.74263   875    3.23617   1429  4.28805   791   3.07365   1174  0.480714  2930  0.180466  2072
