# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# N_FP: Number of defected atoms
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def  t(ps)     N_def
0         0      0         0      0         0      0         0      0         0      0         0      0         0
0.002481  19     0.002481  21     0.00248   19     0.002505  32     0.00248   19     0.002483  20     0.002482  19
0.00497   26     0.00506   35     0.004983  23     0.005053  38     0.005001  19     0.005019  30     0.004979  20
0.007875  59     0.008013  90     0.007569  60     0.00791   89     0.008376  66     0.007629  50     0.007489  56
0.0114    135    0.01144   133    0.010201  89     0.010956  130    0.011792  131    0.01025   80     0.010085  86
0.015231  223    0.016018  235    0.013289  145    0.014059  205    0.015289  189    0.0129    109    0.012789  138
0.019435  352    0.021446  449    0.016459  213    0.017379  285    0.018904  281    0.01557   149    0.015546  167
0.025305  608    0.027375  760    0.019668  277    0.020932  411    0.023244  470    0.018246  179    0.018316  211
0.031957  1041   0.033739  1219   0.022935  425    0.024802  595    0.028163  692    0.020939  232    0.021096  281
0.03915   1693   0.040548  1800   0.026418  542    0.029709  879    0.033807  1037   0.023634  298    0.023903  347
0.047958  2696   0.048348  2694   0.030008  690    0.03501   1280   0.039976  1530   0.026354  372    0.026884  452
0.058754  4318   0.059022  4225   0.033997  948    0.040513  1739   0.046963  2277   0.029079  430    0.030067  570
0.072208  6764   0.070884  6444   0.038332  1214   0.046789  2424   0.05409   3155   0.031867  556    0.03327   702
0.089061  10341  0.08357   9178   0.043524  1668   0.054563  3468   0.061818  4382   0.034682  651    0.036701  880
0.117954  16990  0.098087  12509  0.050132  2314   0.06512   5078   0.070493  5916   0.037619  777    0.04034   1122
0.163717  26408  0.124373  18585  0.058235  3293   0.080397  8075   0.079574  7853   0.040947  937    0.044054  1343
0.269671  35534  0.183111  30392  0.067422  4640   0.103797  13563  0.089129  10110  0.044345  1120   0.047831  1652
0.45079   32922  0.332252  35427  0.078035  6466   0.134179  20858  0.099306  12533  0.04786   1324   0.05173   1958
