# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e: The average electronic temperature over all atoms in each simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)    t(ps)     T_e(K)
0         300       0         300       0         300       0         300       0         300       0         300       0         300
0.002481  300.0174  0.002481  300.0172  0.00248   300.0172  0.002505  300.0178  0.00248   300.0173  0.002483  300.0175  0.002482  300.0163
0.00497   300.0464  0.00506   300.0479  0.004983  300.0468  0.005053  300.0473  0.005001  300.0465  0.005019  300.047   0.004979  300.0449
0.007875  300.0922  0.008013  300.0931  0.007569  300.0871  0.00791   300.0908  0.008376  300.0988  0.007629  300.0879  0.007489  300.082
0.0114    300.1593  0.01144   300.1572  0.010201  300.1338  0.010956  300.1482  0.011792  300.168   0.01025   300.1354  0.010085  300.1308
0.015231  300.2424  0.016018  300.266   0.013289  300.1998  0.014059  300.2142  0.015289  300.25    0.0129    300.1915  0.012789  300.1861
0.019435  300.3426  0.021446  300.403   0.016459  300.2718  0.017379  300.2896  0.018904  300.3443  0.01557   300.2517  0.015546  300.2489
0.025305  300.4888  0.027375  300.556   0.019668  300.3528  0.020932  300.3772  0.023244  300.4667  0.018246  300.3159  0.018316  300.3158
0.031957  300.6563  0.033739  300.7195  0.022935  300.4372  0.024802  300.4779  0.028163  300.6173  0.020939  300.3878  0.021096  300.3871
0.03915   300.8271  0.040548  300.8727  0.026418  300.5328  0.029709  300.6065  0.033807  300.7917  0.023634  300.4603  0.023903  300.4649
0.047958  301.014   0.048348  301.0307  0.030008  300.6333  0.03501   300.744   0.039976  300.9814  0.026354  300.5417  0.026884  300.5502
0.058754  301.1941  0.059022  301.2125  0.033997  300.7524  0.040513  300.8771  0.046963  301.1733  0.029079  300.6231  0.030067  300.6488
0.072208  301.3771  0.070884  301.3721  0.038332  300.8855  0.046789  301.034   0.05409   301.3556  0.031867  300.71    0.03327   300.7511
0.089061  301.5677  0.08357   301.5136  0.043524  301.0383  0.054563  301.2235  0.061818  301.5363  0.034682  300.8028  0.036701  300.8615
0.117954  301.8202  0.098087  301.6474  0.050132  301.2248  0.06512   301.439   0.070493  301.7137  0.037619  300.9028  0.04034   300.9803
0.163717  302.0799  0.124373  301.8342  0.058235  301.44    0.080397  301.6955  0.079574  301.8702  0.040947  301.0119  0.044054  301.1068
0.269671  302.4834  0.183111  302.1017  0.067422  301.655   0.103797  301.9842  0.089129  302.01    0.044345  301.1327  0.047831  301.2317
0.45079   302.9893  0.332252  302.5649  0.078035  301.8851  0.134179  302.271   0.099306  302.1372  0.04786   301.2585  0.05173   301.3685
0.664046  303.4623  0.543133  303.0707  0.094736  302.207   0.20658   302.7212  0.110234  302.2608  0.051437  301.3894  0.055687  301.5043
0.89136   303.901   0.786326  303.5489  0.120944  302.589   0.359313  303.3141  0.123384  302.3944  0.055059  301.5234  0.059746  301.6426
1.14257   304.3383  1.02291   303.9653  0.164403  303.0246  0.579278  303.9129  0.143632  302.5687  0.058743  301.6563  0.064281  301.8033
1.40084   304.7438  1.29514   304.4033  0.296443  303.7598  0.834979  304.4532  0.168899  302.7354  0.062618  301.7983  0.069177  301.9719
1.66632   305.1471  1.57382   304.8302  0.489351  304.4114  1.09178   304.9165  0.20909   302.9302  0.067338  301.9696  0.07419   302.1429
1.92735   305.5334  1.85127   305.2505  0.709598  304.9394  1.3676    305.3617  0.324719  303.3686  0.072389  302.1564  0.079336  302.3219
2.1981    305.9336  2.13561   305.6823  0.950178  305.4073  1.65477   305.7984  0.546443  303.9652  0.077586  302.3594  0.084844  302.5134
2.48105   306.3487  2.4359    306.1322  1.20744   305.8485  1.93964   306.2242  0.800056  304.4892  0.083261  302.5932  0.091966  302.7411
2.76494   306.7621  2.73589   306.5799  1.45912   306.2415  2.24404   306.6701  1.09819   305.0048  0.089646  302.8539  0.100725  302.9962
3.06792   307.207   3.04941   307.0416  1.71439   306.6238  2.55384   307.1167  1.40956   305.5134  0.09708   303.1552  0.111001  303.2501
3.36963   307.6429  3.36583   307.4971  1.98015   307.0132  2.87642   307.5856  1.72617   306.0023  0.109712  303.6405  0.121862  303.4827
3.67555   308.077   3.69459   307.9697  2.27982   307.4421  3.21236   308.0752  2.04755   306.4931  0.129971  304.3201  0.133152  303.7026
3.99103   308.5276  4.03816   308.4671  2.58785   307.8844  3.5659    308.5822  2.37996   306.993   0.165709  305.2206  0.145334  303.9169
4.31785   308.9904  4.38589   308.9674  2.89528   308.3251  3.92602   309.0984  2.7225    307.5023  0.261853  306.5013  0.160764  304.1618
4.63943   309.4418  4.74263   309.4715  3.23617   308.8123  4.28805   309.6134  3.07365   308.0206  0.480714  307.8607  0.180466  304.4375
4.97198   309.8988  5.10672   309.9776  3.58217   309.2935  4.66042   310.1365  3.43765   308.5513  0.740527  308.6976  0.215359  304.8581
5.32374   310.3718  5.47909   310.4814  3.93413   309.7853  5.04996   310.6708  3.80889   309.0856  1.0275    309.3295  0.325863  305.7948
5.67477   310.8288  5.86006   310.9812  4.28617   310.2726  5.45018   311.2065  4.20029   309.645   1.3103    309.8431  0.582366  306.9501
6.04351   311.2938  6.25914   311.4922  4.66735   310.7926  5.86418   311.7408  4.5921    310.1948  1.60115   310.3117  0.875533  307.7446
6.41994   311.7686  6.66065   312.0182  5.07109   311.3308  6.28632   312.2747  4.995     310.7493  1.92034   310.788   1.19231   308.3636
6.80483   312.2631  7.07269   312.5414  5.47783   311.8583  6.72587   312.8382  5.3999    311.2915  2.24582   311.2513  1.52875   308.9165
7.20262   312.7445  7.48196   313.0281  5.89729   312.3871  7.17297   313.3863  5.82544   311.8417  2.59878   311.7387  1.87291   309.4343
7.61356   313.2182  7.93233   313.5696  6.34013   312.9319  7.6465    313.9384  6.25406   312.3798  2.96354   312.2287  2.2335    309.959
8.04959   313.731   8.38663   314.0992  6.7956    313.5023  8.13728   314.5149  6.6987    312.947   3.33851   312.7211  2.60488   310.4833
8.48544   314.2191  8.84549   314.5998  7.2515    314.0435  8.66231   315.0903  7.13007   313.4745  3.73941   313.2321  2.98633   311.012
8.95116   314.7125  9.33022   315.1183  7.73123   314.5916  9.22629   315.6821  7.62096   314.0427  4.14302   313.7415  3.39062   311.5596
9.41481   315.1974  9.86256   315.6761  8.23039   315.1606  9.85341   316.3266  8.14957   314.6564  4.54326   314.2359  3.8063    312.1072
9.90708   315.7069  10.4495   316.2895  8.77513   315.7367  10.5042   316.9875  8.69638   315.2484  4.97045   314.7499  4.2167    312.6463
