# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_e^I: The maximum local electronic temperature
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)  t(ps)     T_e^I(K)
0         319.764   0         319.764   0         319.764   0         319.764   0         319.764   0         319.764   0         319.764
0.002481  36293.2   0.002481  36297.3   0.00248   36378.3   0.002505  35770.8   0.00248   36307.9   0.002483  36156.5   0.002482  33558.8
0.00497   72134.1   0.00506   70518.8   0.004983  71876.1   0.005053  70659     0.005001  71712.9   0.005019  71186.9   0.004979  69328.7
0.007875  99601.7   0.008013  94348.8   0.007569  103962    0.00791   98916     0.008376  93978.6   0.007629  102902    0.007489  103206
0.0114    118232    0.01144   102250    0.010201  132506    0.010956  122924    0.011792  114197    0.01025   133261    0.010085  133323
0.015231  133276    0.016018  110214    0.013289  153860    0.014059  145050    0.015289  132296    0.0129    160747    0.012789  160914
0.019435  143958    0.021446  107726    0.016459  174182    0.017379  161644    0.018904  148303    0.01557   188192    0.015546  186660
0.025305  141710    0.027375  96961.3   0.019668  192492    0.020932  175864    0.023244  156977    0.018246  214943    0.018316  211443
0.031957  131683    0.033739  84778.6   0.022935  210090    0.024802  186844    0.028163  160295    0.020939  237951    0.021096  235649
0.03915   117188    0.040548  74119.1   0.026418  221002    0.029709  185574    0.033807  159067    0.023634  262790    0.023903  258321
0.047958  94970.6   0.048348  63191.7   0.030008  231571    0.03501   173347    0.039976  153120    0.026354  285321    0.026884  278053
0.058754  76596.5   0.059022  51730.4   0.033997  238427    0.040513  157795    0.046963  137624    0.029079  308901    0.030067  293222
0.072208  58882.6   0.070884  42746.8   0.038332  241379    0.046789  139787    0.05409   122433    0.031867  330306    0.03327   308130
0.089061  43551.8   0.08357   33653.6   0.043524  227554    0.054563  120543    0.061818  105306    0.034682  350483    0.036701  318629
0.117954  26954.4   0.098087  27135.9   0.050132  206950    0.06512   103691    0.070493  87844.4   0.037619  366991    0.04034   327225
0.163717  2885.06   0.124373  9629.5    0.058235  181959    0.080397  81098.4   0.079574  73324.7   0.040947  379264    0.044054  333457
0.269671  1081.15   0.183111  1547.69   0.067422  158564    0.103797  59434.7   0.089129  62811.9   0.044345  388534    0.047831  336340
0.45079   652.453   0.332252  795.179   0.078035  133623    0.134179  38382.8   0.099306  54550.9   0.04786   398846    0.05173   341301
0.664046  528.356   0.543133  576.321   0.094736  97798.2   0.20658   3215.09   0.110234  45941.7   0.051437  408037    0.055687  343330
0.89136   481.588   0.786326  486.506   0.120944  61455.7   0.359313  997.225   0.123384  36491.5   0.055059  416601    0.059746  348203
1.14257   449.356   1.02291   447.233   0.164403  32668.7   0.579278  601.632   0.143632  26143.6   0.058743  425207    0.064281  346399
1.40084   422.924   1.29514   418.817   0.296443  1234.09   0.834979  479.443   0.168899  6286.1    0.062618  430767    0.069177  342984
1.66632   410.296   1.57382   403.825   0.489351  707.831   1.09178   432.859   0.20909   2057.55   0.067338  422401    0.07419   338998
1.92735   400.62    1.85127   394.924   0.709598  546.71    1.3676    406.444   0.324719  982.195   0.072389  408549    0.079336  332894
2.1981    394.921   2.13561   389.352   0.950178  470.087   1.65477   391.107   0.546443  583.763   0.077586  394557    0.084844  323177
2.48105   389.726   2.4359    382.08    1.20744   429.32    1.93964   382.691   0.800056  471.493   0.083261  373014    0.091966  297603
2.76494   385.901   2.73589   379.646   1.45912   408.159   2.24404   376.251   1.09819   421.84    0.089646  348588    0.100725  259914
3.06792   384.465   3.04941   375.475   1.71439   394.279   2.55384   371.245   1.40956   399.687   0.09708   319246    0.111001  224494
3.36963   381.525   3.36583   372.358   1.98015   384.588   2.87642   368.717   1.72617   387.234   0.109712  270343    0.121862  196626
3.67555   377.629   3.69459   369.91    2.27982   377.267   3.21236   366.22    2.04755   379.325   0.129971  197580    0.133152  172498
3.99103   375.483   4.03816   367.43    2.58785   372.263   3.5659    363.897   2.37996   373.455   0.165709  107598    0.145334  150792
4.31785   372.711   4.38589   365.143   2.89528   368.329   3.92602   361.299   2.7225    369.668   0.261853  38286.3   0.160764  127095
4.63943   370.393   4.74263   362.164   3.23617   365.352   4.28805   359.153   3.07365   366.605   0.480714  1081.48   0.180466  103087
4.97198   368.121   5.10672   360.585   3.58217   362.307   4.66042   357.048   3.43765   364.089   0.740527  637.279   0.215359  66073.8
5.32374   365.31    5.47909   358.545   3.93413   359.589   5.04996   355.153   3.80889   361.327   1.0275    502.894   0.325863  3450.74
5.67477   363.012   5.86006   356.355   4.28617   357.697   5.45018   353.243   4.20029   359.133   1.3103    445.451   0.582366  902.551
6.04351   360.277   6.25914   354.617   4.66735   355.022   5.86418   351.314   4.5921    357.244   1.60115   414.535   0.875533  564.373
6.41994   358.087   6.66065   353.053   5.07109   352.805   6.28632   349.585   4.995     354.924   1.92034   394.524   1.19231   455.75
6.80483   356.412   7.07269   351.094   5.47783   350.905   6.72587   348.195   5.3999    353.319   2.24582   381.806   1.52875   408.453
7.20262   354.424   7.48196   348.967   5.89729   349.097   7.17297   346.401   5.82544   351.392   2.59878   372.793   1.87291   385.034
7.61356   351.953   7.93233   346.836   6.34013   347.11    7.6465    344.357   6.25406   349.259   2.96354   365.548   2.2335    372.221
8.04959   349.701   8.38663   345.397   6.7956    346.035   8.13728   342.696   6.6987    347.765   3.33851   360.082   2.60488   363.241
8.48544   347.6     8.84549   343.046   7.2515    344.77    8.66231   340.536   7.13007   345.982   3.73941   355.553   2.98633   357.362
8.95116   345.625   9.33022   341.238   7.73123   342.872   9.22629   338.361   7.62096   343.455   4.14302   352.11    3.39062   352.566
9.41481   343.901   9.86256   339.048   8.23039   341.144   9.85341   336.494   8.14957   341.261   4.54326   349.33    3.8063    348.734
9.90708   341.902   10.4495   337.025   8.77513   339.262   10.5042   334.862   8.69638   339.257   4.97045   346.607   4.2167    346.282
10.4283   340.34    11.0644   335.403   9.38907   337.346   11.1732   333.722   9.2937    337.014   5.40525   344.354   4.64507   344.101
10.9623   338.524   11.726    334.298   10.0261   335.714   11.8691   332.888   9.93837   335.182   5.87637   342.292   5.1097    342.003
11.5376   337.357   12.4036   333.141   10.7063   334.249   12.5734   331.936   10.6169   333.658   6.41204   340.133   5.62773   339.753
12.1181   336.457   13.1207   331.527   11.3921   333.305   13.3001   330.577   11.3169   332.492   7.00966   338.392   6.21199   337.709
12.7534   334.581   13.8554   330.495   12.0976   332.517   14.0191   330.054   12.0292   331.778   7.64797   336.652   6.81996   336.08
13.4549   332.53    14.5963   330.449   12.8222   331.36    14.7695   329.874   12.7485   330.739   8.33099   335.128   7.46365   334.348
14.1757   332.09    15.3394   329.519   13.5757   330.219   15.5325   328.951   13.4964   329.575   9.03211   333.655   8.1423    332.946
14.8932   331.536   16.1      328.489   14.3282   330.08    16.2974   328.236   14.2488   329.405   9.75195   332.451   8.84067   331.686
15.6359   330.208   16.8632   328.408   15.0828   329.642   17.0712   328.272   15.0005   329.051   10.4838   331.508   9.56576   330.561
16.403    329.186   17.6307   328.257   15.8548   328.74    17.8316   328.168   15.7667   328.203   11.2234   330.989   10.2955   329.854
17.1697   329.219   18.4028   328.065   16.6221   328.432   18.6071   328.18    16.5355   327.874   11.977    330.598   11.0374   329.358
17.9196   328.961   19.174    328.082   17.3845   328.576   19.3858   328.046   17.3107   327.882   12.7301   330.023   11.7846   328.997
18.6904   328.797   19.9479   327.625   18.1579   328.352   20.1612   327.632   18.0809   327.757   13.4956   329.33    12.5373   328.565
19.4489   328.473   20.7297   327.312   18.9337   328.409   20.9349   327.562   18.8541   327.862   14.2619   329.294   13.3047   328.029
20.226    327.791   21.5041   327.468   19.7139   328.109   21.72     327.652   19.6319   327.627   15.0344   329.136   14.0662   327.879
21.0048   327.622   22.2866   327.415   20.4947   327.766   22.5073   327.63    20.4159   327.279   15.8079   328.703   14.8381   327.965
21.7767   327.699   23.0644   327.566   21.2735   327.83    23.2902   327.862   21.1898   327.357   16.5804   328.637   15.614    327.619
22.5568   327.563   23.8429   327.699   22.0496   327.854   24.0769   327.965   21.9686   327.357   17.3561   328.731   16.392    327.467
23.3364   327.823   24.6256   327.65    22.8261   327.997   24.8638   327.956   22.7451   327.406   18.1305   328.755   17.1722   327.542
24.1162   327.809   25.4077   327.836   23.5992   328.164   25.6433   328.172   23.5227   327.644   18.9059   328.879   17.9527   327.624
24.8896   327.706   26.1915   327.985   24.3785   328.153   26.4294   328.207   24.3048   327.755   19.6845   328.765   18.7311   327.832
25.6694   327.941   26.9728   327.897   25.1658   328.238   27.2122   328.173   25.0903   327.751   20.4662   328.58    19.5031   327.779
26.4476   327.972   27.7606   327.722   25.9432   328.457   27.9896   328.159   25.8677   327.993   21.2388   328.682   20.2793   327.653
27.2343   327.812   28.5384   328.42    26.7269   328.441   28.7654   328.931   26.6492   328.014   22.0142   328.769   21.0581   327.684
28.015    327.772   29.3199   328.891   27.507    328.266   29.529    329.206   27.4371   327.91    22.7906   328.929   21.8384   327.879
28.7916   328.812   30.1009   328.845   28.2871   328.718   30.3086   329.078   28.217    328.231   23.5781   329.079   22.6287   328.028
29.567    329.04    30.8912   328.786   29.0696   329.323   31.0877   329.13    28.9952   328.853   24.3621   329.149   23.4081   328.264
30.3454   328.844   31.6743   328.78    29.8543   329.4     31.879    329.064   29.7747   329.039   25.1399   329.294   24.1893   328.31
31.1105   328.834   32.4537   328.703   30.6409   329.244   32.6534   329.123   30.5576   328.869   25.9162   329.431   24.9637   328.46
31.8856   328.795   33.2373   329.07    31.4266   329.275   33.4351   329.326   31.3428   328.973   26.6982   329.421   25.7556   328.673
32.6656   328.744   34.0171   329.012   32.2128   329.266   34.2115   329.318   32.1266   328.912   27.4763   329.354   26.5435   328.718
33.4512   329.089   34.8016   329.048   32.9955   329.417   34.9953   329.492   32.9106   329.103   28.2646   329.697   27.3262   328.704
34.2356   328.974   35.5799   329.421   33.7803   329.523   35.7775   329.843   33.6895   329.287   29.0503   330.123   28.1114   328.915
35.0219   329.182   36.3627   329.497   34.5638   329.5     36.5606   329.847   34.4726   329.198   29.8365   330.211   28.8698   329.415
35.8059   329.467   37.1514   329.503   35.3454   329.806   37.3065   329.857   35.2535   329.511   30.6187   330.16    29.6523   329.549
36.5929   329.453   37.9392   329.522   36.1279   330.03    38.0955   329.832   36.0384   329.701   31.3975   330.255   30.432    329.564
37.373    329.426   38.7258   329.604   36.9149   330.025   38.8812   329.959   36.8299   329.679   32.1785   330.186   31.2196   329.609
38.1578   329.469   39.5126   329.747   37.7028   330.006   39.6676   330.24    37.6132   329.7     32.9594   330.366   32.0017   329.646
38.9407   329.548   40.2993   330.241   38.4907   330.049   40.4552   330.596   38.3946   329.746   33.7441   330.486   32.7796   329.74
39.7233   329.979   41.0821   330.279   39.2732   330.186   41.2423   330.572   39.1847   329.845   34.5262   330.477   33.5615   329.921
40.5132   330.309   41.864    330.167   40.0574   330.697   42.0331   330.484   39.9681   330.252   35.3018   330.74    34.3246   329.973
41.2945   330.245   42.656    330.242   40.8396   330.761   42.8162   330.569   40.7495   330.426   36.0847   330.928   35.1052   330.164
42.0799   330.102   43.4348   330.454   41.6228   330.685   43.6033   330.74    41.542    330.387   36.8685   330.991   35.889    330.385
42.8588   330.206   44.2133   330.66    42.4018   330.686   44.3935   330.918   42.3276   330.353   37.6569   330.997   36.6749   330.452
43.6473   330.492   44.9912   330.595   43.1822   330.892   45.1825   330.804   43.1138   330.505   38.4411   331.003   37.4639   330.477
44.4267   330.651   45.7791   330.431   43.9636   330.904   45.9652   330.748   43.899    330.598   39.2292   331.122   38.2415   330.468
