# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat: The average lattice temperature of the simulation cell
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)  t(ps)     T_lat(K)
0         408.3161  0         408.3163  0         408.3163  0         408.3162  0         408.3162  0         408.3163  0         408.3161
0.002481  407.8642  0.002481  407.9041  0.00248   407.9079  0.002505  407.9098  0.00248   407.8542  0.002483  407.8302  0.002482  407.8371
0.00497   404.6276  0.00506   407.3531  0.004983  407.4991  0.005053  401.8883  0.005001  400.0239  0.005019  407.333   0.004979  407.615
0.007875  401.1727  0.008013  405.0239  0.007569  405.1401  0.00791   405.063   0.008376  406.8005  0.007629  407.0201  0.007489  407.3164
0.0114    400.2896  0.01144   405.6835  0.010201  386.1723  0.010956  404.7655  0.011792  406.0623  0.01025   406.7992  0.010085  405.4752
0.015231  401.4049  0.016018  401.74    0.013289  405.5281  0.014059  405.7398  0.015289  403.2762  0.0129    406.1823  0.012789  405.3178
0.019435  402.3673  0.021446  398.7773  0.016459  403.9798  0.017379  399.4582  0.018904  390.9681  0.01557   404.6327  0.015546  402.3768
0.025305  399.9382  0.027375  399.0254  0.019668  399.4653  0.020932  397.5435  0.023244  398.5306  0.018246  404.5811  0.018316  402.8702
0.031957  397.6157  0.033739  394.3216  0.022935  402.6018  0.024802  398.1017  0.028163  399.4836  0.020939  403.8724  0.021096  404.0446
0.03915   391.704   0.040548  393.5449  0.026418  401.3129  0.029709  397.8652  0.033807  394.6098  0.023634  404.3116  0.023903  403.1509
0.047958  389.3276  0.048348  387.7911  0.030008  400.886   0.03501   396.7849  0.039976  393.7475  0.026354  403.2188  0.026884  401.5618
0.058754  385.2878  0.059022  385.0317  0.033997  397.8011  0.040513  392.6546  0.046963  392.5488  0.029079  402.3803  0.030067  400.4263
0.072208  377.3824  0.070884  378.3695  0.038332  390.7854  0.046789  391.3197  0.05409   385.9244  0.031867  402.5554  0.03327   399.6593
0.089061  369.293   0.08357   372.0782  0.043524  392.6592  0.054563  385.8113  0.061818  385.8396  0.034682  401.4496  0.036701  397.3153
0.117954  355.4072  0.098087  364.2138  0.050132  389.9217  0.06512   382.3014  0.070493  380.9343  0.037619  400.4609  0.04034   397.8696
0.163717  342.0724  0.124373  352.263   0.058235  385.5995  0.080397  373.946   0.079574  376.2176  0.040947  399.4558  0.044054  397.7491
0.269671  340.3485  0.183111  339.8133  0.067422  382.613   0.103797  361.7788  0.089129  371.61    0.044345  397.8238  0.047831  395.6211
0.45079   341.4604  0.332252  341.0082  0.078035  377.0111  0.134179  349.4736  0.099306  366.7644  0.04786   397.1456  0.05173   393.7312
0.664046  341.07    0.543133  340.9727  0.094736  369.3209  0.20658   338.4776  0.110234  361.0931  0.051437  396.0539  0.055687  391.3399
0.89136   340.1151  0.786326  340.2424  0.120944  356.6367  0.359313  340.5594  0.123384  354.867   0.055059  394.448   0.059746  391.1463
1.14257   339.5529  1.02291   339.8908  0.164403  343.5738  0.579278  340.4892  0.143632  347.2989  0.058743  390.1282  0.064281  387.9382
1.40084   339.4272  1.29514   339.8277  0.296443  340.2591  0.834979  340.0725  0.168899  341.6253  0.062618  391.1631  0.069177  386.0766
1.66632   340.0993  1.57382   340.2397  0.489351  340.5838  1.09178   340.0489  0.20909   338.2849  0.067338  389.5001  0.07419   384.245
1.92735   340.7483  1.85127   341.1262  0.709598  340.0111  1.3676    340.2671  0.324719  339.4765  0.072389  387.6614  0.079336  382.4408
2.1981    341.086   2.13561   341.516   0.950178  339.5718  1.65477   340.7337  0.546443  340.4372  0.077586  385.5653  0.084844  380.2221
2.48105   341.6595  2.4359    341.8342  1.20744   339.55    1.93964   341.5095  0.800056  340.3276  0.083261  383.9042  0.091966  373.6772
2.76494   341.6629  2.73589   342.0417  1.45912   340.0312  2.24404   341.8566  1.09819   340.224   0.089646  380.5909  0.100725  372.4271
3.06792   341.6676  3.04941   342.5339  1.71439   340.6548  2.55384   342.4636  1.40956   340.5922  0.09708   377.3158  0.111001  367.5032
3.36963   341.6793  3.36583   342.2406  1.98015   341.1626  2.87642   342.3972  1.72617   341.5005  0.109712  370.6054  0.121862  362.1467
3.67555   342.3298  3.69459   343.0009  2.27982   341.6129  3.21236   342.7213  2.04755   342.188   0.129971  360.7117  0.133152  357.1162
3.99103   342.504   4.03816   343.2614  2.58785   341.9386  3.5659    342.975   2.37996   342.3756  0.165709  347.4255  0.145334  351.9644
4.31785   343.0487  4.38589   343.6368  2.89528   342.4429  3.92602   344.041   2.7225    342.8315  0.261853  337.5076  0.160764  347.3544
4.63943   343.2183  4.74263   343.6435  3.23617   342.8041  4.28805   343.9598  3.07365   342.8907  0.480714  339.082   0.180466  342.6293
4.97198   343.0851  5.10672   343.4221  3.58217   342.7422  4.66042   344.44    3.43765   342.8657  0.740527  339.0928  0.215359  338.737
5.32374   342.7049  5.47909   343.2463  3.93413   343.7054  5.04996   344.1837  3.80889   343.8514  1.0275    339.7628  0.325863  338.6022
5.67477   341.9431  5.86006   342.8609  4.28617   343.7597  5.45018   343.8473  4.20029   344.0575  1.3103    340.7283  0.582366  339.3252
6.04351   341.9251  6.25914   343.357   4.66735   344.0838  5.86418   343.2493  4.5921    344.1056  1.60115   341.4151  0.875533  339.4102
6.41994   343.352   6.66065   344.6369  5.07109   343.8047  6.28632   344.1779  4.995     344.0123  1.92034   342.0888  1.19231   340.3461
6.80483   343.7344  7.07269   342.9926  5.47783   343.71    6.72587   344.709   5.3999    343.9103  2.24582   342.5122  1.52875   341.4677
7.20262   341.6167  7.48196   342.7666  5.89729   343.219   7.17297   342.9083  5.82544   343.4517  2.59878   343.193   1.87291   342.245
7.61356   342.459   7.93233   343.8229  6.34013   344.2586  7.6465    343.5984  6.25406   343.9348  2.96354   343.585   2.2335    342.8331
8.04959   343.0878  8.38663   342.3819  6.7956    344.6961  8.13728   343.486   6.6987    344.7516  3.33851   343.8852  2.60488   343.4353
8.48544   341.4167  8.84549   341.7548  7.2515    342.6772  8.66231   342.2636  7.13007   343.0263  3.73941   344.2263  2.98633   343.9652
8.95116   341.1282  9.33022   342.0528  7.73123   343.8003  9.22629   341.8902  7.62096   343.3247  4.14302   344.1795  3.39062   343.8227
9.41481   341.264   9.86256   342.8564  8.23039   343.0627  9.85341   342.7848  8.14957   342.9956  4.54326   344.6069  3.8063    344.5977
9.90708   342.2373  10.4495   342.2531  8.77513   341.9642  10.5042   341.9649  8.69638   341.7276  4.97045   344.2205  4.2167    344.5888
10.4283   341.8916  11.0644   341.6873  9.38907   341.7324  11.1732   341.5849  9.2937    341.7282  5.40525   344.1826  4.64507   344.7772
10.9623   341.2495  11.726    340.8258  10.0261   342.8731  11.8691   340.926   9.93837   342.5107  5.87637   343.4715  5.1097    344.1917
11.5376   340.6401  12.4036   340.858   10.7063   341.5307  12.5734   340.7544  10.6169   341.3382  6.41204   344.1416  5.62773   343.9302
