# SYSTEM: Ni
# Method: l2t-MD

# NOTES:
# t: time
# ps: Picoseconds
# T_lat^I: The maximum local lattice temperature
# K: Kelvin
# Each two consecutive columns represents a result from a single simulation repeated with different Primary Knock-on Atom (PKA) directions

#t(ps)    T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)  t(ps)     T_lat^I(K)
0         867259      0         863377      0         877174      0         863376      0         867260      0         877174      0         867259
0.002481  854507      0.002481  843472      0.00248   855743      0.002505  856029      0.00248   867204      0.002483  876898      0.002482  897599
0.00497   831335      0.00506   837053      0.004983  894057      0.005053  741822      0.005001  835086      0.005019  921169      0.004979  899662
0.007875  528687      0.008013  773033      0.007569  874245      0.00791   647410      0.008376  489527      0.007629  920428      0.007489  820278
0.0114    494452      0.01144   726673      0.010201  591483      0.010956  604830      0.011792  447316      0.01025   726351      0.010085  706990
0.015231  468143      0.016018  355499      0.013289  505257      0.014059  588979      0.015289  403746      0.0129    663517      0.012789  699278
0.019435  292180      0.021446  196614      0.016459  540399      0.017379  405199      0.018904  308260      0.01557   726110      0.015546  673214
0.025305  156199      0.027375  164344      0.019668  542152      0.020932  392673      0.023244  283259      0.018246  806043      0.018316  751492
0.031957  129786      0.033739  159810      0.022935  569610      0.024802  386706      0.028163  278925      0.020939  721665      0.021096  750545
0.03915   94900.9     0.040548  125939      0.026418  429539      0.029709  245117      0.033807  133306      0.023634  798157      0.023903  748267
0.047958  92587.1     0.048348  83431.8     0.030008  440062      0.03501   227975      0.039976  133283      0.026354  794544      0.026884  609081
0.058754  47934.2     0.059022  78272       0.033997  317962      0.040513  177325      0.046963  103422      0.029079  724123      0.030067  472090
0.072208  34981.9     0.070884  38311.7     0.038332  276425      0.046789  103184      0.05409   92053.2     0.031867  627789      0.03327   488108
0.089061  29707.5     0.08357   32245       0.043524  176883      0.054563  97388.8     0.061818  76589.6     0.034682  636857      0.036701  470213
0.117954  15681.1     0.098087  27402.2     0.050132  108916      0.06512   65947.5     0.070493  67725.1     0.037619  631753      0.04034   356174
0.163717  13116.4     0.124373  13125.1     0.058235  99747.7     0.080397  30849.6     0.079574  66148.9     0.040947  445419      0.044054  365415
0.269671  12011.6     0.183111  8763.01     0.067422  66112.7     0.103797  15564.7     0.089129  54648.8     0.044345  447486      0.047831  360654
0.45079   9709.6      0.332252  7953.7      0.078035  62706.6     0.134179  12022       0.099306  52811.8     0.04786   436211      0.05173   374024
0.664046  7775.48     0.543133  6971.32     0.094736  31201.7     0.20658   9085.68     0.110234  48977.4     0.051437  427893      0.055687  364184
0.89136   7060.9      0.786326  6405.56     0.120944  14206.6     0.359313  7851.44     0.123384  27107.5     0.055059  431449      0.059746  324007
1.14257   6538.38     1.02291   5529.94     0.164403  11386.6     0.579278  6638.11     0.143632  19850.1     0.058743  393444      0.064281  318271
1.40084   5976.35     1.29514   5224.49     0.296443  8419.05     0.834979  5574.09     0.168899  8769.53     0.062618  403912      0.069177  232701
1.66632   5592.19     1.57382   5410.23     0.489351  7264.38     1.09178   5444.79     0.20909   7203.26     0.067338  400985      0.07419   208597
1.92735   5391.39     1.85127   5064.71     0.709598  5856.68     1.3676    4982.35     0.324719  5796.53     0.072389  215829      0.079336  209089
2.1981    5398.07     2.13561   4957.07     0.950178  5433.54     1.65477   4940.12     0.546443  4750.31     0.077586  224947      0.084844  165227
2.48105   5167.29     2.4359    4371.2      1.20744   5591.96     1.93964   4432.83     0.800056  4460.87     0.083261  171493      0.091966  118237
2.76494   4738.67     2.73589   4454.74     1.45912   5241.32     2.24404   4202.25     1.09819   3685.4      0.089646  148881      0.100725  114776
3.06792   4514.63     3.04941   3899.16     1.71439   4518.14     2.55384   3898.28     1.40956   3409.52     0.09708   89122       0.111001  56580.6
3.36963   4052.71     3.36583   3716.99     1.98015   4658.22     2.87642   3587.24     1.72617   3068.97     0.109712  47374.2     0.121862  45437.2
3.67555   3856.64     3.69459   3550.66     2.27982   3951.9      3.21236   3176.51     2.04755   3043.06     0.129971  25989.6     0.133152  43239.6
3.99103   3827.16     4.03816   3332.92     2.58785   3672.39     3.5659    3004.79     2.37996   2949.25     0.165709  16055.7     0.145334  37510.9
4.31785   3688.34     4.38589   3021.7      2.89528   3379.29     3.92602   2923.19     2.7225    2672.77     0.261853  6679.34     0.160764  33284.4
4.63943   3564.39     4.74263   2822.96     3.23617   3290.14     4.28805   2706.6      3.07365   2766.25     0.480714  5280.83     0.180466  13391.9
